,,,Labour force participation rate (Male),Labour force participation rate (Female),Ratio of persons employed in primary industry,Ratio of persons employed in secondary industry,Ratio of persons employed in tertiary industry,Unemployment rate (Both sexes),Ratio of employees to all workers,Ratio of persons living and working in the same prefecture,Ratio of commuters to other municipalities,Ratio of commuters from other municipalities,Ratio of new employment,Ratio of job vacancies to application,Ratio of newly filled vacancies,Ratio of employment to part-time job applications (Regular),Ratio of aged employees (65 years old and over),Ratio of aged general workers (65 years old and over),Ratio of employment for the disabled persons,Ratio of new employment to upper secondary school graduates,Ratio of upper secondary school graduates getting jobs outside the prefecture,Job vacancies rate of new upper secondary school graduates,Ratio of new employment to college or university graduates ,Ratio of new college or university graduates not working,Ratio of persons who changed jobs,Ratio of persons who quit their jobs,Ratio of newly employed,Ratio of job changes,"Monthly average of hours actually worked
(Male)","Monthly average of hours actually worked
(Female)","Salary of part-time workers
(per hour, Male)","Salary of part-time workers (per hour, Female)","Number of part-time workers
 (Male)",Number of part-time workers (Female),Scheduled cash earnings for upper secondary school graduates (Male),Scheduled cash earnings for upper secondary school graduates (Female)
,,,#F0110101,#F0110102,#F01201,#F01202,#F01203,#F01301,#F02301,#F02501,#F02701,#F02702,#F03101,#F03103,#F03104,#F0320101,#F0350303,#F0350403,#F03602,#F03303,#F03302,#F03304,#F03403,#F03402,#F04101,#F04102,#F04103,#F04104,#F0610103,#F0610104,#F06207,#F06206,#F03242,#F03241,#F0620307,#F0620308
16,富山県,Toyama-ken,69.3,51.4,3.3,33.1,62.1,3.1,82.6,97.5,29.1,29,7.1,1.23,5.8,8.1,24,2.69,63.5,21.3,5.7,2.88,68.9,4.1,4.3,3.5,4.3,7.2,178,168,"1,482","1,208","20,950","57,050",180.7,168.8
17,石川県,Ishikawa-ken,68.6,51.8,3,27.4,65.5,3.4,79.2,94.9,29,29.2,5.8,1.16,5,7.6,24.5,2.93,54.6,21.4,9.9,3.01,72.4,5.8,4.4,3.4,5.2,7.9,179,169,"1,295","1,210","25,880","74,920",178.7,166
18,福井県,Fukui-ken,70.2,53,3.7,30.7,63.8,3.3,79.8,97.2,28.6,28.9,8.8,1.55,5.7,10.1,25.5,2.82,56.3,22.8,10.8,2.98,75.4,3.2,4.5,3.1,4.3,7.4,178,168,"1,300","1,150","16,030","44,280",181.8,168.6
19,山梨県,Yamanashi-ken,68.8,50,7.2,27.8,62.9,4.4,75.6,94.7,40.6,39.3,5.4,0.95,5.7,8.7,27,2.58,52.7,16.8,13.7,2.61,77.7,8.8,4.5,3.7,4.8,7.9,179,169,"1,503","1,240","17,270","50,100",174.6,179.6
20,長野県,Nagano-ken,70.9,52.1,9.1,28.5,60.1,3.4,76.3,97.5,27.4,27.4,6,1.16,5.2,7.8,28.7,2.73,52,18.3,9.9,2.23,66.8,5.3,4.1,3.4,5,7.7,176,166,"1,434","1,209","38,520","110,900",174.1,179.3
21,岐阜県,Gifu-ken,69.8,50.9,3.1,32.1,61.8,3.4,79.8,86.6,39.4,32.9,5.1,1.25,4.1,7.2,24.9,1.77,57.1,23.4,26.1,2.77,76.2,5,4.5,3.7,4.7,7.8,180,170,"1,440","1,216","43,510","130,490",176.2,176.6
22,静岡県,Shizuoka-ken,70.9,51.2,3.8,32.2,60.9,4,80,95.6,35.4,35.4,4.3,1,4.3,5.2,24.7,2.13,49.1,22.7,9.2,2.6,79.6,6.1,5.1,3.6,5,8.3,178,168,"1,413","1,274","88,250","267,930",185,178.3
23,愛知県,Aichi-ken,69.5,49.7,2.1,32,61.3,3.4,81.7,94.1,47.6,49.9,3.3,1.08,3,4.6,24.1,2.59,45.7,19.4,4.4,3.41,82.6,5,4.7,3.7,6.1,8.9,176,167,"1,754","1,324","264,230","685,130",178.7,180.6
24,三重県,Mie-ken,67.7,48.7,3.6,31,62.1,3.4,81.7,92,30.9,28.6,5.3,1.06,5,6.5,22.6,1.67,50.3,27,14.7,2.38,77.9,5.5,4.9,3.7,5,8.1,181,171,"1,324","1,178","38,290","127,850",181.8,174.3
25,滋賀県,Shiga-ken,68.9,49.1,2.6,32.6,61.1,3.5,83.1,86.3,42.2,36.4,5,0.76,6.6,8,22.2,1.6,59.4,18.5,8.9,2.16,74.4,5.3,4.6,3.9,5.6,8.6,178,168,"1,509","1,245","31,870","92,290",182.4,172.8
26,京都府,Kyoto-fu,65.3,46.9,2.1,21.6,67.7,4.4,75,80.7,46.5,47.1,4,1,4,5.2,24.1,2.29,46.1,8.3,17.1,3.41,76.9,6.9,4.7,4,6.9,8.9,178,166,"1,794","1,437","80,750","184,910",177.6,176
27,大阪府,Osaka-fu,61.9,43.7,0.5,22.2,68.5,5.3,78.1,86.7,54.8,64.5,3,1.08,2.8,4.9,20.2,1.8,42.5,11.2,9.9,5.24,79.7,7,5.1,4.6,6.3,9,178,168,"1,981","1,448","272,930","775,210",189.6,188.1
