,Prefectures,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11, Saitama-ken,-508,535,591,"4,552", 8 123,"22,513","34,045","42,055","67,977","100,915","99,666","104,772","114,046","113,803","113,840","111,190","135,775","122,274","120,960","122,088","93,032","84,090","71,783","60,700","55,552","54,472","51,734","47,622","44,465","39,606","37,808","39,763","52,352","83,750","82,365","74,897","59,883","46,746","44,849","38,538","28,738","22,000","15,949","8,243","6,077","4,042","4,222","6,867","3,439","6,294","3,272",-240,"7,708","8,544","14,872","18,083","15,424","12,143","10,298","11,554","14,909","13,528","15,560","14,923","17,036","17,963","17,912","22,479"
12, Chiba-ken,"-11,834","-5,717","-5,915","1,875", 2 232,"3,773","17,173","29,838","46,847","47,948","68,191","51,597","58,813","78,013","90,154","109,495","111,187","92,565","97,272","98,842","96,609","77,600","65,310","66,724","79,253","73,187","66,091","54,360","44,536","39,242","33,490","32,065","37,943","57,293","62,165","53,318","40,813","35,808","32,709","24,522","13,180","8,128","4,505","5,764","7,017","11,797","9,616","13,429","13,585","10,954","1,960","6,117","12,398","19,632","24,178","21,692","14,187","-3,935","-8,188","2,442","8,364","10,605","16,075","16,203","16,924","17,187","16,770","18,225"
13, Tokyo-to,"242,139","218,291","225,041","244,010", 224 248,"222,592","210,713","188,758","138,950","109,448","38,035","41,650","20,863","-25,909","-46,731","-65,967","-104,563","-96,486","-125,250","-172,764","-166,104","-128,589","-122,348","-105,523","-105,548","-106,816","-94,889","-63,904","-39,610","-11,509","-2,182","1,670","-3,968","-56,303","-72,861","-61,814","-51,076","-36,248","-50,824","-67,559","-60,856","-32,537","-5,518","17,291","31,319","37,156","54,920","68,118","73,275","66,400","72,881","86,562","90,079","94,500","83,000","56,220","48,331","44,482","56,497","70,172","73,280","81,696","74,177","75,498","82,774","86,575","38,374","10,815"
14, Kanagawa-ken,"45,544","38,835","43,850","59,677", 59 057,"73,413","93,335","116,459","134,100","119,352","149,813","125,862","99,037","114,496","127,478","115,078","127,731","114,062","87,547","67,034","49,349","32,747","29,698","34,896","40,480","32,300","28,114","36,813","40,188","41,870","43,494","49,149","69,394","78,904","58,467","50,814","45,425","30,399","16,614","5,664","2,024","-2,593","3,316","8,367","18,000","12,688","19,237","28,419","29,076","24,293","22,749","22,249","21,848","32,474","29,646","21,466","14,887","10,119","8,602","12,356","12,855","13,528","12,056","13,155","18,866","23,851","24,949","28,922"
15, Niigata-ken,"-29,487","-27,778","-27,194","-33,057",- 25 529,"-31,511","-32,723","-31,881","-32,382","-32,102","-28,366","-24,297","-22,787","-23,571","-25,006","-25,489","-25,084","-23,903","-19,199","-15,139","-8,238","-7,829","-6,626","-8,639","-6,439","-6,396","-4,213","-8,710","-8,235","-8,887","-8,005","-8,381","-10,169","-9,070","-6,874","-6,779","-5,284","-4,097","-2,586",-29,"1,819",897,-231,-734,"-3,112","-4,366","-4,594","-5,117","-5,377","-4,573","-4,918","-5,499","-6,923","-6,783","-6,316","-4,461","-4,104","-2,170","-4,845","-5,132","-5,518","-6,735","-6,189","-6,566","-7,544","-8,162","-6,107","-5,786"
16, Toyama-ken,"-9,397","-8,722","-7,378","-7,033",- 6 909,"-8,022","-7,669","-7,753","-8,306","-8,889","-7,740","-7,756","-8,777","-8,424","-8,110","-6,866","-4,464","-3,821","-2,896","-1,943","-1,687","-1,511","-1,506","-1,238","-1,197",-940,"-1,495","-1,995","-1,819","-1,874","-1,704","-1,626","-2,139","-2,285","-2,124","-1,854","-1,668","-1,126","-1,742",63,224,294,401,-514,"-1,152","-1,059","-1,168","-2,329","-1,790","-1,361","-1,117","-1,157","-1,309","-1,820","-2,152","-1,932",-646,-340,-673,"-1,354","-1,091","-1,045","-1,004","-1,093","-1,617","-2,006","-1,722","-1,617"
17, Ishikawa-ken,"-6,874","-5,355","-4,640","-7,293",- 6 511,"-6,097","-4,838","-4,592","-5,960","-5,573","-4,159","-3,868","-4,974","-3,732","-3,814","-2,998","-2,405","-2,555",-475,"1,498","1,761",454,"1,219",-464,-761,585,325,-322,57,"-1,182","-1,800","-1,631","-2,661","-2,819","-1,550","-1,341","-1,342",-933,-120,-245,-430,895,-373,"-1,633","-1,378","-1,163","-1,154","-2,172","-1,288","-2,153","-2,316","-2,783","-2,215","-2,153","-1,701",-870,-523,-754,-421,-782,-586,-287,-811,-628,"-1,597","-2,556","-1,499","-1,147"
18, Fukui-ken,"-7,349","-4,896","-5,728","-7,503",- 7 051,"-6,785","-6,012","-5,532","-6,670","-5,742","-7,135","-7,172","-6,237","-5,948","-6,688","-5,530","-4,344","-3,680","-2,287",-947,"-1,316","-1,350",-361,"-2,192","-1,753","-1,722","-1,333","-1,593",-601,-590,"-1,355",-965,"-2,612","-1,789","-1,800","-1,787","-1,740","-2,293","-1,693",-305,8,-34,-793,"-1,074",-641,-965,"-1,200","-1,778","-1,581","-1,806","-2,089","-2,072","-2,004","-2,552","-2,364","-2,290","-1,410","-1,031","-1,641","-2,055","-2,246","-2,154","-1,820","-1,519","-2,159","-2,832","-2,308","-2,096"
19, Yamanashi-ken,"-11,454","-9,755","-11,699","-13,809",- 12 775,"-13,591","-10,698","-10,674","-11,682","-7,433","-7,827","-6,829","-6,051","-5,182","-6,302","-5,633","-5,082","-4,101","-3,901","-2,740","-1,358","-2,690","-2,007","-1,438","-1,774","-1,006",-224,-265,-37,"1,224","1,095","2,028","1,516",234,"1,395","1,516","3,338","2,513","1,120","2,426","2,348","1,384","1,132",297,312,330,204,"-1,373","-1,343","-2,144","-1,084","-1,589","-2,428","-2,507","-3,517","-1,182","-1,368","-1,846","-1,278","-2,321","-2,564","-2,553","-2,011","-2,684","-2,454","-2,353","-1,358",252
20, Nagano-ken,"-26,183","-21,726","-23,585","-27,032",- 21 476,"-22,402","-22,293","-20,353","-18,413","-18,741","-16,439","-15,879","-15,443","-14,262","-12,912","-12,246","-9,501","-7,464","-5,988","-3,602","-2,646","-4,122",-47,477,-652,"-1,254","-1,817","-2,058","-2,149",-607,"3,161","1,601",-375,"-3,250","-2,001","-1,024",-179,336,"1,427","1,664","3,597","3,372","1,654","1,000",-757,708,198,"-1,037","-2,114","-2,558","-2,466","-4,375","-3,963","-4,752","-4,434","-4,528","-2,103",-76,"-2,056","-2,690","-3,279","-2,934","-2,680","-2,681","-3,603","-4,327","-2,081",-972
