統計名：,令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）,,,,,,,,,
時間軸（年次） コード,時間軸（年次）,男女 コード,男女,全国，都道府県，市区町村 コード,全国，都道府県，市区町村,/国籍,総数,外国人,日本人,日本人・外国人の別「不詳」
2020000000,2020年,0,総数,0,全国,,"126,146,099","2,402,460","121,541,155","2,202,484"
