Name,categories,Country,2016,2017,2018,2019,2020
Azerbaijan,"Taxes on income, profits, & capital gains",AZ,5.2099,4.7572,4.3921,4.302,
Azerbaijan,Taxes on int trade & transactions,AZ,1.1838,1.276,1.3307,1.6461,
Azerbaijan,Taxes on payroll & workforce,AZ,0.0,0.0,0.0,0.0,
Azerbaijan,Taxes on property,AZ,0.3949,0.3473,0.309,0.3376,
Belarus,Customs & other import duties,BY,1.0099,1.0676,1.0396,1.036,1.059
Belarus,Grants revenue,BY,0.2568,1.1987,1.738,1.3345,0.4002
Belarus,Grants revenue from foreign govts,BY,0.256,1.1862,1.7273,1.3176,0.382
Belarus,Grants revenue from int orgs,BY,0.0008,0.0124,0.0108,0.0169,0.0181
Belarus,Grants revenue from other gen govt,BY,0.0,0.0,0.0,0.0,0.0
Belarus,Other revenue,BY,6.1453,7.7444,7.3205,7.2303,7.1405
Belarus,Revenue,BY,42.1508,43.515,44.6787,43.1754,40.762
Belarus,Social contributions,BY,10.6276,10.406,10.5556,10.8103,10.9458
Belarus,Tax revenue,BY,25.121,24.166,25.0646,23.8003,22.2756
Belarus,Taxes on goods & services,BY,12.8227,12.0342,11.8909,11.5649,11.7472
Belarus,"Taxes on income, profits, & capital gains",BY,6.8501,7.1136,7.146,7.4163,6.677
Belarus,Taxes on int trade & transactions,BY,3.6143,3.3539,4.4977,3.5234,2.8048
Belarus,Taxes on payroll & workforce,BY,0.0,0.0,0.0,0.0,0.0
Belarus,Taxes on property,BY,1.6771,1.5276,1.4202,1.1929,0.9492
Belgium,Customs & other import duties,BE,0.0,0.0,0.0,0.0,0.0
Belgium,Grants revenue,BE,0.1189,0.1213,0.1343,0.1497,0.1522
Belgium,Grants revenue from foreign govts,BE,0.0178,0.0226,0.0292,0.0286,0.0294
Belgium,Grants revenue from int orgs,BE,0.1011,0.0987,0.1051,0.1211,0.1228
Belgium,Grants revenue from other gen govt,BE,0.0,0.0,0.0,0.0,0.0
Belgium,Other revenue,BE,4.062,4.0892,4.0678,4.016,3.8655
Belgium,Revenue,BE,50.0264,50.6127,50.6311,49.4129,50.001
Belgium,Social contributions,BE,15.7184,15.6596,15.4878,15.4459,16.1618
Belgium,Tax revenue,BE,30.1271,30.7426,30.9412,29.8012,29.8214
Belgium,Taxes on goods & services,BE,12.4199,12.4043,12.4767,12.4406,12.2207
Belgium,"Taxes on income, profits, & capital gains",BE,15.5107,16.1619,16.2915,15.2442,15.4526
Belgium,Taxes on int trade & transactions,BE,0.0,0.0,0.0,0.0,0.0
Belgium,Taxes on payroll & workforce,BE,0.0,0.0,0.0,0.0,0.0
Belgium,Taxes on property,BE,2.1913,2.1714,2.168,2.1115,2.1429
Bulgaria,Customs & other import duties,BG,0.0144,0.0137,0.0144,0.0111,0.009
Bulgaria,Grants revenue,BG,,,,,
