,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of aged-couple households (Only aged couple),Number of aged-single-person households (Aged 65 and over),Marriages,Divorces,
,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,
7504,浅川町　　　　,Asakawa-machi,"6,577","6,548",29,"6,248",885,"3,752","1,940",...,31,100,113,126,"5,566","2,055","2,050",994,418,470,208,191,17,9,7504
7505,古殿町　　　　,Furudono-machi,"5,373","5,328",45,"5,027",629,"2,948","1,796",...,17,79,56,129,"4,716","1,661","1,660",714,306,417,153,185,11,3,7505
7521,三春町　　　　,Miharu-machi,"18,304","18,235",54,"16,816","2,016","10,557","5,620",...,87,226,428,485,"15,806","6,230","6,220","3,391","1,317","1,670",767,606,45,18,7521
7522,小野町　　　　,Ono-machi,"10,475","10,403",65,"9,816","1,203","5,991","3,246",...,39,157,206,297,"9,553","3,425","3,420","1,712",704,862,359,341,29,14,7522
7541,広野町　　　　,Hirono-machi,"4,319","4,302",17,"4,704",256,"2,930","1,131",...,17,66,275,318,"5,403","2,435","2,430",697,"1,555",355,208,185,15,5,7541
7542,楢葉町　　　　,Naraha-machi,975,970,5,"6,767",3,741,185,...,37,89,289,318,"3,002",839,839,93,735,68,42,54,23,17,7542
7543,富岡町　　　　,Tomioka-machi,0,0,0,"12,374",0,0,0,...,55,155,428,675,"2,961",0,0,0,0,0,0,0,38,18,7543
7544,川内村　　　　,Kawauchi-mura,"2,021","2,003",18,"2,523",74,"1,181",765,...,12,70,101,92,"1,899","1,082",718,380,204,265,158,110,15,3,7544
7545,大熊町　　　　,Okuma-machi,0,0,0,"10,265",0,0,0,...,56,116,146,138,"3,701",0,0,0,0,0,0,0,33,15,7545
7546,双葉町　　　　,Futaba-machi,0,0,0,"5,789",0,0,0,...,27,90,32,91,322,0,0,0,0,0,0,0,18,13,7546
7547,浪江町　　　　,Namie-machi,0,0,0,"16,718",0,0,0,...,63,227,269,557,"1,597",0,0,0,0,0,0,0,52,24,7547
7548,葛尾村　　　　,Katsurao-mura,18,18,0,"1,373",0,9,9,...,8,26,26,43,979,9,9,5,3,4,1,1,7,2,7548
7561,新地町　　　　,Shinchi-machi,"8,218","8,176",42,"7,861","1,096","4,603","2,455",...,46,119,188,230,"7,526","2,699","2,626","1,292",546,587,281,224,20,9,7561
7564,飯舘村　　　　,Iitate-mura,41,41,0,"5,246",0,0,41,...,17,77,69,232,"3,246",1,0,0,0,0,0,0,10,8,7564
8,茨城県　　　,Ibaraki-ken,"2,916,976","2,862,997","41,310","2,907,678","364,351","1,747,312","771,678","1,113,138","17,389","32,931","99,186","101,930","2,842,851","1,124,349","1,122,443","644,317","318,357","263,536","130,950","100,117","10,622","4,403",8
8201,水戸市　　　　,Mito-shi,"270,783","266,098","2,492","271,380","34,839","163,039","66,236","172,333","1,969","2,961","10,255","10,170","301,513","117,590","117,337","64,455","42,991","23,538","12,368","11,734","1,203",443,8201
8202,日立市　　　　,Hitachi-shi,"185,054","183,548","1,198","175,366","21,621","108,148","53,977","154,590",904,"2,171","3,948","5,153","198,752","78,625","78,539","46,679","25,476","20,503","11,330","8,900",619,220,8202
8203,土浦市　　　　,Tsuchiura-shi,"140,804","138,092","2,534","141,371","17,312","85,252","37,562","86,641",792,"1,650","6,313","6,168","154,735","57,257","57,134","32,798","18,071","13,424","6,717","5,665",609,260,8203
8204,古河市　　　　,Koga-shi,"140,946","138,923","1,931","142,260","17,562","87,054","35,974","50,088",857,"1,527","4,322","5,027","131,709","52,571","52,504","30,934","13,588","12,580","5,747","4,680",513,232,8204
8205,石岡市　　　　,Ishioka-shi,"76,020","75,093",746,"73,649","8,622","44,542","22,330","27,708",402,986,"1,925","2,232","69,670","27,288","27,227","15,350","6,674","6,822","3,234","2,569",253,123,8205
8207,結城市　　　　,Yuki-shi,"51,594","50,119","1,404","51,266","6,626","30,618","14,127","20,457",265,606,"1,614","1,809","48,080","18,267","18,241","10,403","4,220","4,455","2,020","1,469",161,71,8207
8208,龍ケ崎市　　　,Ryugasaki-shi,"78,342","76,631","1,070","76,590","9,590","48,335","19,113","43,391",359,758,"2,636","2,893","69,202","30,472","30,432","19,108","8,008","7,373","3,735","2,578",246,119,8208
8210,下妻市　　　　,Shimotsuma-shi,"43,293","42,022","1,261","43,095","5,719","26,540","11,018","6,147",248,488,"1,452","1,592","42,663","15,036","15,015","8,229","3,478","3,165","1,377","1,145",163,69,8210
8211,常総市　　　　,Joso-shi,"61,483","58,966","2,285","62,570","7,633","36,451","16,860","10,655",273,690,"2,185","2,436","63,974","20,600","20,575","10,806","4,671","4,753","1,965","1,580",186,90,8211
8212,常陸太田市　　,Hitachiota-shi,"52,294","52,180",99,"50,278","4,975","29,533","17,745","8,039",212,771,888,"1,171","43,674","19,436","19,388","12,402","3,932","6,092","3,208","2,469",119,39,8212
8214,高萩市　　　　,Takahagi-shi,"29,638","29,492",140,"27,866","3,329","17,197","9,061","8,010",150,413,691,873,"27,610","11,751","11,721","7,308","3,109","3,378","1,748","1,387",81,39,8214
8215,北茨城市　　　,Kitaibaraki-shi,"44,412","44,141",240,"42,651","4,924","25,811","13,183",...,203,637,902,"1,059","40,713","16,871","16,847","10,141","4,151","4,652","2,224","1,941",123,63,8215
8216,笠間市　　　　,Kasama-shi,"76,739","76,163",500,"74,984","9,251","45,466","21,713","6,646",405,"1,029","2,012","2,040","68,747","28,202","28,138","16,983","6,411","7,437","3,527","2,712",247,104,8216
8217,取手市　　　　,Toride-shi,"106,570","105,374","1,133","107,236","11,555","61,423","33,380","76,546",554,"1,228","3,701","5,362","92,789","43,477","43,433","28,130","11,497","13,575","7,213","4,928",312,144,8217
8219,牛久市　　　　,Ushiku-shi,"84,317","82,655","1,127","84,868","11,355","50,287","21,846","66,642",511,738,"3,218","3,179","71,587","33,223","33,148","21,736","8,337","8,878","4,861","2,484",292,128,8219
8220,つくば市　　　,Tsukuba-shi,"226,963","213,960","6,131","241,809","31,448","139,739","40,999","74,124","2,133","1,733","14,833","10,781","244,164","98,190","98,057","45,312","41,225","13,403","6,806","4,492","1,248",382,8220
8221,ひたちなか市　,Hitachinaka-shi,"155,689","154,580",980,"158,015","22,079","96,086","37,127","94,645","1,050","1,436","4,956","5,358","150,287","61,104","61,019","38,772","16,406","14,109","7,429","4,997",630,239,8221
8222,鹿嶋市　　　　,Kashima-shi,"67,879","67,006",773,"67,416","8,719","40,017","18,708","18,116",449,779,"2,336","2,262","72,397","27,450","27,408","15,457","8,674","6,517","3,789","2,747",283,114,8222
8223,潮来市　　　　,Itako-shi,"29,111","28,728",330,"27,613","3,341","17,331","8,253",...,148,338,640,793,"25,028","10,547","10,537","5,841","2,636","2,573","1,175","1,046",81,41,8223
8224,守谷市　　　　,Moriya-shi,"64,753","63,989",614,"69,392","10,243","41,528","12,651","46,565",557,455,"3,336","2,612","53,615","24,867","24,856","16,847","6,015","5,289","2,736","1,518",285,80,8224
8225,常陸大宮市　　,Hitachiomiya-shi,"42,587","42,363",188,"40,590","4,483","23,685","14,005",...,161,649,791,"1,134","40,224","16,005","15,963","9,500","3,866","4,632","2,379","2,025",102,49,8225
8226,那珂市　　　　,Naka-shi,"54,276","54,045",166,"54,440","6,779","31,580","15,693","5,873",302,605,"1,547","1,449","47,072","20,025","19,965","13,354","4,044","5,679","2,982","1,927",186,72,8226
8227,筑西市　　　　,Chikusei-shi,"104,573","102,959","1,511","103,243","12,759","62,316","29,178","13,056",552,"1,235","2,527","2,716","99,967","35,683","35,613","19,619","7,682","8,656","3,796","3,072",318,180,8227
8228,坂東市　　　　,Bando-shi,"54,087","52,753","1,249","53,550","6,839","32,517","14,359","8,861",251,639,"1,488","1,447","50,648","17,327","17,282","8,881","3,524","3,893","1,559","1,203",170,68,8228
8229,稲敷市　　　　,Inashiki-shi,"42,810","42,088",712,"39,806","4,253","24,920","13,552",...,133,625,970,"1,234","40,347","14,453","14,432","7,585","3,107","3,744","1,620","1,433",93,62,8229
8230,かすみがうら市,Kasumigaura-shi,"42,147","41,336",798,"41,200","5,172","25,216","11,693","15,176",203,538,"1,352","1,526","36,029","15,142","15,109","8,614","3,767","3,668","1,751","1,196",118,53,8230
8231,桜川市　　　　,Sakuragawa-shi,"42,632","42,468",158,"40,606","4,892","25,106","12,592",...,164,558,687,"1,195","38,363","13,585","13,551","7,145","2,488","3,337","1,373","1,227",97,51,8231
8232,神栖市　　　　,Kamisu-shi,"94,522","92,290","2,183","95,537","13,713","60,907","19,576","21,814",761,895,"3,417","3,229","99,947","37,221","37,180","20,105","11,696","6,254","2,722","2,659",467,180,8232
8233,行方市　　　　,Namegata-shi,"34,909","34,159",749,"33,775","3,796","20,103","11,001",...,157,572,617,885,"31,874","11,115","11,095","5,252","2,217","2,785","1,074",893,81,44,8233
8234,鉾田市　　　　,Hokota-shi,"48,147","46,249","1,874","48,160","5,357","28,150","14,560",...,234,632,"1,157","1,358","44,108","17,430","17,401","8,559","4,861","4,290","2,065","1,719",130,72,8234
8235,つくばみらい市,Tsukubamirai-shi,"49,136","48,744",335,"52,110","7,071","29,767","12,050","9,303",428,455,"2,243","2,096","42,572","18,137","18,129","11,126","4,215","4,193","2,065","1,274",208,89,8235
8236,小美玉市　　　,Omitama-shi,"50,911","50,097",790,"50,250","6,507","30,902","13,435",...,287,629,"1,812","1,956","49,601","17,491","17,429","10,480","3,743","4,259","2,032","1,424",195,82,8236
8302,茨城町　　　　,Ibaraki-machi,"32,921","32,583",326,"32,022","3,716","19,029","10,128",...,155,417,"1,074","1,187","30,307","11,356","11,310","6,706","2,362","3,189","1,488","1,067",86,54,8302
8309,大洗町　　　　,Oarai-machi,"16,886","16,264",592,"16,464","1,827","9,788","5,149","11,779",71,269,441,586,"16,978","6,661","6,649","3,732","1,945","1,799",760,808,30,34,8309
8310,城里町　　　　,Shirosato-machi,"19,800","19,728",71,"18,946","1,970","11,561","6,260",...,73,313,355,506,"15,029","7,066","7,059","4,402","1,318","2,089",981,822,55,16,8310
8341,東海村　　　　,Tokai-mura,"37,713","37,484",209,"38,376","5,870","22,388","8,941","16,224",250,352,"1,308","1,227","37,344","14,494","14,469","9,348","3,701","3,379","1,923","1,028",131,53,8341
8364,大子町　　　　,Daigo-machi,"18,053","17,968",74,"16,251","1,529","9,215","7,286",...,46,354,255,381,"16,986","6,733","6,721","3,435","1,721","2,157","1,084","1,106",33,17,8364
8442,美浦村　　　　,Miho-mura,"15,842","15,615",227,"14,972","1,836","9,720","4,280",...,76,192,563,595,"14,840","5,958","5,948","3,430","1,574","1,389",655,539,53,32,8442
8443,阿見町　　　　,Ami-machi,"47,535","46,881",594,"48,070","6,158","29,059","12,013","26,737",295,538,"2,115","1,640","44,327","18,801","18,772","10,854","5,622","4,336","2,151","1,519",191,70,8443
8447,河内町　　　　,Kawachi-machi,"9,168","9,122",45,"8,578",790,"5,232","3,146",...,37,140,182,245,"7,110","2,950","2,947","1,550",485,878,351,298,25,14,8447
8521,八千代町　　　,Yachiyo-machi,"22,021","21,211",760,"21,736","2,770","13,333","5,826",...,115,264,569,637,"19,742","6,799","6,792","2,910","1,544","1,327",494,414,60,40,8521
8542,五霞町　　　　,Goka-machi,"8,786","8,661",78,"8,385",896,"5,405","2,407",...,24,128,245,267,"12,224","2,894","2,890","1,662",527,759,279,212,23,10,8542
8546,境町　　　　　,Sakai-machi,"24,517","24,028",483,"25,074","3,199","14,832","6,453","6,535",140,329,902,845,"24,130","8,061","8,051","4,289","1,702","1,797",748,596,90,44,8546
8564,利根町　　　　,Tone-machi,"16,313","16,141",150,"15,862","1,426","8,184","6,232","6,437",33,209,406,619,"12,173","6,138","6,130","4,088","1,076","2,531","1,409",615,26,17,8564
9,栃木県　　　,Tochigi-ken,"1,974,255","1,927,885","26,494","1,955,402","252,836","1,203,616","508,392","892,084","11,808","21,702","59,425","61,287","1,955,198","763,097","761,863","431,675","219,720","168,842","80,800","69,790","7,396","3,037",9
9201,宇都宮市　　　,Utsunomiya-shi,"518,594","496,618","5,278","521,104","70,889","327,930","119,000","385,594","3,731","4,828","17,384","17,066","537,708","217,419","217,163","123,068","73,337","42,278","21,125","19,032","2,453",829,9201
9202,足利市　　　　,Ashikaga-shi,"149,452","146,451","2,855","146,016","17,432","86,168","45,047","89,233",675,"1,916","3,655","3,828","145,052","60,186","60,036","35,562","17,381","15,966","7,930","7,285",480,247,9202
9203,栃木市　　　　,Tochigi-shi,"159,211","156,531","2,558","158,397","18,963","94,138","45,706","56,831",842,"1,992","4,174","4,342","153,545","57,838","57,757","33,560","13,714","14,961","6,962","5,636",486,219,9203
9204,佐野市　　　　,Sano-shi,"118,919","116,968","1,744","117,358","14,364","70,826","33,079","48,536",651,"1,499","3,012","2,832","118,326","46,390","46,301","27,047","12,664","11,376","5,360","5,163",446,175,9204
9205,鹿沼市　　　　,Kanuma-shi,"98,374","97,119","1,012","96,340","12,613","58,998","26,488","39,220",546,"1,160","1,945","2,293","96,580","35,079","35,032","20,559","7,884","8,333","3,771","3,349",332,174,9205
9206,日光市　　　　,Nikko-shi,"83,386","82,808",505,"80,168","8,794","47,371","27,030","8,165",365,"1,183","1,892","2,270","78,985","32,658","32,589","17,757","9,423","8,596","4,185","4,562",221,119,9206
9208,小山市　　　　,Oyama-shi,"166,760","161,450","4,389","167,888","22,523","105,124","37,162","98,014","1,180","1,574","7,087","7,714","166,882","65,792","65,698","36,521","20,498","12,757","5,846","4,807",721,278,9208
9209,真岡市　　　　,Moka-shi,"79,539","76,711","2,723","79,871","11,292","49,000","18,948","27,719",498,815,"2,042","2,205","79,300","27,949","27,915","15,741","6,563","5,746","2,588","1,908",271,140,9209
9210,大田原市　　　,Ohtawara-shi,"75,457","74,163",889,"70,482","9,056","46,574","18,817","16,314",421,860,"2,054","2,048","79,182","28,753","28,685","13,997","9,616","5,552","2,586","2,092",261,84,9210
9211,矢板市　　　　,Yaita-shi,"33,354","33,046",274,"31,719","4,011","19,829","9,401","10,417",152,403,867,957,"32,048","12,342","12,311","6,976","3,171","2,997","1,422","1,196",91,47,9211
9213,那須塩原市　　,Nasushiobara-shi,"117,146","115,059","1,597","117,143","15,836","71,997","27,944","32,158",730,"1,176","3,645","3,491","110,886","45,608","45,540","25,444","13,341","9,222","4,512","3,767",395,217,9213
9214,さくら市　　　,Sakura-shi,"44,901","44,651",235,"44,329","6,417","27,694","10,648",...,322,459,"1,711","1,466","42,104","15,648","15,588","8,926","3,959","3,223","1,475","1,119",183,71,9214
9215,那須烏山市　　,Nasukarasuyama-shi,"27,047","26,867",180,"25,567","2,856","15,241","8,950",...,75,459,490,615,"25,489","9,439","9,407","5,198","2,041","2,661","1,212","1,052",55,23,9215
9216,下野市　　　　,Shimotsuke-shi,"59,431","58,876",459,"60,163","8,206","37,656","13,329","33,080",396,559,"2,381","2,292","52,720","21,394","21,368","12,705","5,413","4,375","2,045","1,398",266,71,9216
9301,上三川町　　　,Kaminokawa-machi,"31,046","30,757",221,"31,285","4,620","19,977","6,294",...,227,255,"1,116","1,099","31,233","10,777","10,767","6,379","2,507","1,955",857,586,116,58,9301
9342,益子町　　　　,Mashiko-machi,"23,281","23,113",155,"22,530","2,882","14,080","6,291",...,80,281,475,624,"19,166","7,787","7,773","4,529","1,501","1,807",782,694,55,32,9342
9343,茂木町　　　　,Motegi-machi,"13,188","13,135",53,"12,472","1,238","7,059","4,890",...,27,217,231,315,"11,640","4,572","4,563","2,450",919,"1,432",717,573,27,8,9343
9344,市貝町　　　　,Ichikai-machi,"11,720","11,596",120,"11,683","1,436","7,306","2,954",...,55,138,386,347,"10,316","4,109","4,106","2,336",911,870,409,316,36,16,9344
9345,芳賀町　　　　,Haga-machi,"15,189","15,062",107,"15,612","1,979","8,791","4,386",...,74,210,455,421,"29,451","4,957","4,950","2,769",853,"1,230",512,430,43,19,9345
9361,壬生町　　　　,Mibu-machi,"39,951","39,561",330,"39,096","5,176","24,012","10,402","19,634",213,407,"1,111","1,159","36,822","15,258","15,236","8,764","4,276","3,680","1,795","1,300",125,60,9361
9364,野木町　　　　,Nogi-machi,"25,292","25,043",202,"25,497","3,013","15,414","6,730","13,633",158,252,780,"1,050","21,362","9,530","9,517","6,156","2,120","2,612","1,306",789,73,33,9364
9384,塩谷町　　　　,Shioya-machi,"11,495","11,435",60,"10,804","1,177","6,522","3,791",...,33,180,184,316,"9,547","3,696","3,689","1,934",608,"1,081",463,368,13,18,9384
9386,高根沢町　　　,Takanezawa-machi,"29,639","29,225",312,"29,424","3,845","18,679","6,722","13,536",220,279,"1,204","1,242","25,226","11,521","11,509","5,912","3,758","2,013",893,645,162,39,9386
9407,那須町　　　　,Nasu-machi,"24,919","24,759",153,"24,756","2,570","13,692","8,614",...,76,361,814,822,"26,309","8,564","8,540","4,419","2,007","2,526","1,340","1,061",43,38,9407
9411,那珂川町　　　,Nakagawa-machi,"16,964","16,881",83,"15,698","1,648","9,538","5,769",...,61,239,330,473,"15,319","5,831","5,823","2,966","1,255","1,593",707,662,42,22,9411
10,群馬県　　　,Gumma-ken,"1,973,115","1,930,380","37,126","1,958,185","250,884","1,165,780","540,026","787,504","11,660","23,286","61,802","62,125","1,969,764","773,952","772,014","457,134","221,059","187,121","94,018","79,885","7,044","2,857",10
10201,前橋市　　　　,Maebashi-shi,"336,154","330,440","3,213","335,055","41,961","196,034","91,143","196,540","2,191","3,850","10,750","10,277","351,420","136,900","136,591","79,245","42,870","32,042","16,577","14,527","1,341",484,10201
10202,高崎市　　　　,Takasaki-shi,"370,884","366,791","3,369","372,189","49,298","221,228","97,466","197,792","2,525","4,081","11,845","11,679","377,656","150,180","149,835","89,505","45,930","34,877","17,998","15,493","1,520",567,10202
10203,桐生市　　　　,Kiryu-shi,"114,714","113,351","1,271","108,330","12,062","64,314","38,078","73,816",429,"1,677","2,238","2,891","112,539","46,034","45,938","26,762","13,434","13,108","6,548","6,444",275,154,10203
10204,伊勢崎市　　　,Isesaki-shi,"208,814","199,299","8,889","213,274","29,540","128,354","49,221","88,772","1,473","2,162","7,313","6,905","205,094","80,110","79,950","47,838","22,165","16,996","8,181","6,639",898,341,10204
10205,太田市　　　　,Ota-shi,"219,807","211,927","7,345","224,217","31,912","133,417","53,309","83,094","1,520","2,247","8,005","7,460","235,686","86,267","86,103","51,006","25,304","18,935","9,258","7,169",865,376,10205
10206,沼田市　　　　,Numata-shi,"48,676","48,213",394,"46,673","5,872","27,742","14,831","18,551",220,661,"1,096","1,352","47,479","19,178","19,141","11,037","5,320","4,910","2,547","2,441",153,62,10206
10207,館林市　　　　,Tatebayashi-shi,"76,667","74,757","1,562","75,373","9,688","45,718","20,560","39,149",379,908,"2,297","2,300","75,555","30,219","30,171","17,835","8,651","7,262","3,426","3,025",255,101,10207
10208,渋川市　　　　,Shibukawa-shi,"78,391","77,821",450,"75,847","8,655","45,161","24,303","13,473",352,"1,088","1,841","2,134","75,522","28,812","28,711","17,196","6,846","8,044","4,003","3,415",220,95,10208
10209,藤岡市　　　　,Fujioka-shi,"65,708","65,198",472,"64,355","8,110","38,660","18,807","17,552",333,789,"1,555","1,983","61,948","24,569","24,513","15,328","5,904","6,577","3,160","2,678",174,91,10209
10210,富岡市　　　　,Tomioka-shi,"49,746","49,286",391,"47,756","6,037","28,183","15,342","10,636",211,751,"1,262","1,214","50,364","18,255","18,183","11,342","4,329","5,025","2,637","2,008",121,51,10210
10211,安中市　　　　,Annaka-shi,"58,531","58,130",371,"56,706","6,466","32,834","18,934",...,252,836,"1,168","1,274","54,304","22,381","22,319","14,158","5,289","6,672","3,456","2,867",131,70,10211
10212,みどり市　　　,Midori-shi,"50,906","50,324",438,"50,186","6,833","29,966","13,709","9,757",299,596,"1,523","1,430","44,896","18,867","18,820","11,650","4,528","4,680","2,233","1,891",167,60,10212
10344,榛東村　　　　,Shinto-mura,"14,329","14,197",123,"14,588","1,907","9,025","3,378",...,107,145,799,845,"11,484","4,887","4,859","3,119",971,"1,140",535,363,72,32,10344
10345,吉岡町　　　　,Yoshioka-machi,"21,080","20,958",84,"21,808","3,435","12,860","4,621",...,201,190,851,733,"16,081","7,289","7,253","4,830","1,482","1,479",726,484,112,41,10345
10366,上野村　　　　,Ueno-mura,"1,230","1,215",15,"1,136",132,544,554,...,4,24,40,42,"1,264",578,575,290,231,193,131,116,5,1,10366
10367,神流町　　　　,Kanna-machi,"1,954","1,949",5,"1,735",90,768,"1,096",...,3,51,33,54,"2,128",903,901,497,288,387,250,207,6,3,10367
10382,下仁田町　　　,Shimonita-machi,"7,564","7,541",23,"7,007",467,"3,657","3,439",...,15,179,128,180,"7,148","3,040","3,034","1,712",784,"1,147",618,542,9,8,10382
10383,南牧村　　　　,Nammoku-mura,"1,979","1,974",5,"1,717",59,723,"1,197",...,5,60,33,49,"1,745",953,951,504,334,409,262,273,6,1,10383
10384,甘楽町　　　　,Kanra-machi,"13,200","13,148",50,"12,943","1,486","7,619","4,064",...,63,197,283,357,"11,265","4,539","4,529","2,812",828,"1,274",646,444,31,10,10384
10421,中之条町　　　,Nakanojo-machi,"16,850","16,683",161,"15,553","1,709","8,894","6,227",...,72,275,424,548,"15,990","6,529","6,508","3,712","1,831","1,979","1,065","1,001",39,16,10421
10424,長野原町　　　,Naganohara-machi,"5,536","5,502",34,"5,425",578,"3,142","1,815",...,24,83,236,251,"6,252","2,322","2,110","1,223",583,613,338,268,19,7,10424
10425,嬬恋村　　　　,Tsumagoi-mura,"9,780","9,489",288,"9,418","1,063","5,590","3,127",...,32,141,349,354,"9,603","3,664","3,662","1,781","1,067",912,476,401,40,11,10425
10426,草津町　　　　,Kusatsu-machi,"6,518","6,383",127,"6,232",621,"3,457","2,406",...,20,93,368,403,"7,002","3,275","3,269","1,389","1,576",760,443,606,14,6,10426
10428,高山村　　　　,Takayama-mura,"3,674","3,656",17,"3,619",441,"2,005","1,227",...,19,71,220,136,"3,069","1,167","1,164",655,204,330,170,128,8,6,10428
10429,東吾妻町　　　,Higashiagatsuma-machi,"14,033","13,899",134,"13,262","1,325","7,638","5,070",...,50,216,283,378,"13,685","5,235","5,223","3,049","1,194","1,704",878,695,24,14,10429
10443,片品村　　　　,Katashina-mura,"4,390","4,375",15,"4,277",427,"2,436","1,514",...,20,75,110,148,"4,234","1,554","1,549",776,341,411,206,191,9,9,10443
10444,川場村　　　　,Kawaba-mura,"3,647","3,640",7,"3,219",428,"1,732","1,486",...,12,43,83,97,"3,626",980,973,509,161,267,134,87,10,5,10444
10448,昭和村　　　　,Showa-mura,"7,347","7,011",335,"7,186",922,"4,326","2,090",...,37,104,196,213,"7,167","2,476","2,472","1,177",622,573,227,183,20,9,10448
10449,みなかみ町　　,Minakami-machi,"19,347","19,169",177,"18,282","1,801","10,474","7,055",...,64,312,450,572,"18,301","7,594","7,581","3,982","2,159","2,199","1,069","1,147",44,16,10449
10464,玉村町　　　　,Tamamura-machi,"36,654","36,030",528,"36,298","4,510","24,016","7,801","5,191",231,311,"1,467","1,396","32,083","14,337","14,317","8,989","3,920","2,963","1,461","1,036",133,68,10464
10521,板倉町　　　　,Itakura-machi,"15,015","14,926",87,"14,322","1,628","9,065","4,228",...,44,192,368,429,"14,590","5,365","5,358","2,890","1,341","1,366",587,388,31,8,10521
10522,明和町　　　　,Meiwa-machi,"11,044","10,911",131,"11,088","1,390","6,671","2,974",...,47,130,316,406,"11,985","3,914","3,907","2,334",856,"1,002",461,317,30,13,10522
10523,千代田町　　　,Chiyoda-machi,"11,318","11,063",241,"11,205","1,471","6,780","3,049",...,61,132,377,346,"12,478","3,981","3,978","2,416",819,"1,007",486,320,28,26,10523
10524,大泉町　　　　,Oizumi-machi,"41,202","35,068","6,032","41,718","5,310","27,138","8,456","33,181",213,316,"2,694","2,472","41,780","18,070","18,050","9,498","6,909","3,139","1,565","1,308",168,62,10524
10525,邑楽町　　　　,Ora-machi,"26,426","26,056",342,"26,186","3,250","15,609","7,449",...,132,300,801,817,"24,341","9,528","9,516","6,088","1,988","2,739","1,260",783,66,33,10525
11,埼玉県　　　,Saitama-ken,"7,266,534","7,111,168","105,203","7,393,849","910,805","4,507,174","1,788,735","5,828,011","47,328","70,758","331,365","307,094","6,456,452","2,971,659","2,967,928","1,820,049","904,598","702,311","343,334","275,777","29,260","10,659",11
11100,さいたま市　　,Saitama-shi,"1,263,979","1,231,350","13,776","1,324,589","164,722","799,279","284,138","1,165,497","10,006","11,219","79,019","68,097","1,175,579","533,209","532,462","320,436","178,245","110,615","54,648","49,225","5,999","1,816",11100
11101,  西区　　　　　,  Nishi-ku,"87,146","86,176",552,"93,412","11,193","51,964","23,682","63,412",816,940,"5,331","3,826","76,110","33,871","33,819","22,354","8,817","9,086","4,609","3,284",398,155,11101
11102,  北区　　　　　,  Kita-ku,"143,446","138,725","1,154","149,045","19,270","91,826","29,646","141,771","1,033","1,203","9,496","8,440","129,706","61,756","61,664","35,731","22,438","11,387","5,595","5,540",680,174,11102
11103,  大宮区　　　　,  Omiya-ku,"113,864","108,530","1,354","119,322","12,912","70,462","26,181","113,560",860,996,"8,762","7,542","160,346","53,265","53,213","27,697","22,231","9,764","4,865","5,869",669,165,11103
11104,  見沼区　　　　,  Minuma-ku,"161,960","158,121","1,762","163,885","20,495","97,967","41,331","149,022","1,048","1,574","7,991","6,924","132,008","65,666","65,407","41,792","19,304","16,260","8,250","6,327",564,255,11104
11105,  中央区　　　　,  Chuo-ku,"98,762","97,087","1,149","102,384","13,246","65,083","20,026","98,762",785,772,"7,030","6,649","97,362","42,872","42,838","25,634","14,972","7,954","3,842","3,543",551,125,11105
11106,  桜区　　　　　,  Sakura-ku,"97,910","95,142","1,759","95,859","12,167","63,813","21,254","94,724",584,850,"5,789","5,495","83,876","43,331","43,296","23,848","16,787","8,474","4,052","3,748",431,148,11106
11107,  浦和区　　　　,  Urawa-ku,"154,416","150,147","1,587","166,257","20,641","100,851","31,338","154,383","1,376","1,226","10,473","9,095","154,409","67,136","67,081","40,173","23,496","12,367","6,168","6,554",757,168,11107
11108,  南区　　　　　,  Minami-ku,"180,152","175,409","2,532","192,083","24,400","120,521","33,298","180,133","1,770","1,348","11,329","10,861","135,717","77,895","77,856","46,152","27,230","13,337","6,432","6,080","1,032",243,11108
11109,  緑区　　　　　,  Midori-ku,"116,522","114,423",762,"129,440","17,297","72,817","25,550","95,392","1,074","1,069","7,615","5,538","93,574","44,475","44,411","29,825","11,473","9,752","4,801","3,778",522,207,11109
11110,  岩槻区　　　　,  Iwatsuki-ku,"109,801","107,590","1,165","112,902","13,101","63,975","31,832","74,338",660,"1,241","5,203","3,727","112,471","42,942","42,877","27,230","11,497","12,234","6,034","4,502",395,176,11110
11201,川越市　　　　,Kawagoe-shi,"350,745","342,390","4,375","353,260","44,231","216,977","87,358","280,650","2,314","3,380","13,863","12,734","338,663","145,715","145,563","87,172","47,027","34,979","17,370","13,464","1,369",470,11201
11202,熊谷市　　　　,Kumagaya-shi,"198,742","195,907","2,247","195,410","23,986","122,319","52,007","110,295","1,117","2,300","7,241","7,586","194,578","77,004","76,876","47,653","20,831","19,069","9,268","7,462",726,276,11202
11203,川口市　　　　,Kawaguchi-shi,"578,112","554,619","20,527","607,373","74,476","369,270","129,410","565,380","3,969","5,697","29,345","26,962","473,778","245,830","245,502","141,573","84,324","49,880","22,406","22,513","2,833","1,028",11203
