,,,,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上
全国・都道府県コード,全国・都道府県,国籍コード,国籍,移動前・移動後の住所地コード,移動前・移動後の住所地,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人
32000,島根県,60000,移動者,41000,佐賀県,10,2,2,1,5,-1,3,-3,0,1,0,0,1,0,1,-1,-1,0,0,0,0,2,0,0,3,-4,1,-3,1,2,-1,-2,2,0,0,-1,0,0,0,0,10,0,2,1,2,3,2,0,-1,-1,1,2,-1,0,1,0,-1,0,0,0
32000,島根県,60000,移動者,42000,長崎県,2,-1,3,1,5,-8,-1,-5,-1,5,6,0,-1,1,-2,0,0,0,0,0,9,-1,3,1,3,-5,1,-2,-1,5,4,1,0,1,-1,-1,0,0,0,1,-7,0,0,0,2,-3,-2,-3,0,0,2,-1,-1,0,-1,1,0,0,0,-1
32000,島根県,60000,移動者,43000,熊本県,-9,-2,0,-4,7,-4,-6,1,-2,-3,3,1,-1,0,0,-1,1,0,0,1,-4,-3,1,-1,5,-1,-4,0,-3,-1,3,0,-1,0,0,0,1,0,0,0,-5,1,-1,-3,2,-3,-2,1,1,-2,0,1,0,0,0,-1,0,0,0,1
32000,島根県,60000,移動者,44000,大分県,9,-2,0,-1,6,4,1,4,-1,0,-1,-1,1,-3,1,0,0,1,1,-1,7,-3,0,0,7,3,0,3,0,0,-1,0,0,-2,0,0,0,0,0,0,2,1,0,-1,-1,1,1,1,-1,0,0,-1,1,-1,1,0,0,1,1,-1
32000,島根県,60000,移動者,45000,宮崎県,-10,-3,0,1,-1,-7,0,-5,0,1,1,0,0,1,2,0,0,-1,0,1,-3,-2,0,1,0,-4,1,-1,-1,1,0,0,0,1,1,0,0,0,0,0,-7,-1,0,0,-1,-3,-1,-4,1,0,1,0,0,0,1,0,0,-1,0,1
32000,島根県,60000,移動者,46000,鹿児島県,22,3,0,2,2,3,2,5,-4,5,2,7,-5,0,-1,0,0,1,0,0,10,3,2,1,4,0,-2,3,-1,3,0,2,-4,0,0,-1,0,0,0,0,12,0,-2,1,-2,3,4,2,-3,2,2,5,-1,0,-1,1,0,1,0,0
32000,島根県,60000,移動者,47000,沖縄県,18,1,3,1,-4,0,3,4,3,-1,2,0,5,4,-1,0,0,-2,0,0,12,1,0,1,-6,0,4,4,2,0,1,0,4,3,-1,0,0,-1,0,0,6,0,3,0,2,0,-1,0,1,-1,1,0,1,1,0,0,0,-1,0,0
32000,島根県,60000,移動者,48000,東京圏,-420,20,7,0,-128,-435,-89,35,29,17,46,16,25,36,18,11,-2,-5,-12,-9,-206,11,5,3,-51,-248,-37,11,0,10,31,15,12,21,13,6,1,-3,-3,-3,-214,9,2,-3,-77,-187,-52,24,29,7,15,1,13,15,5,5,-3,-2,-9,-6
32000,島根県,60000,移動者,49000,名古屋圏,-49,15,5,-2,9,-49,-25,15,-10,-8,-4,-1,10,0,3,2,2,-2,-4,-5,-42,10,2,0,0,-29,-16,15,-18,-5,-4,-5,6,-1,3,1,1,0,-2,0,-7,5,3,-2,9,-20,-9,0,8,-3,0,4,4,1,0,1,1,-2,-2,-5
32000,島根県,60000,移動者,50000,大阪圏,-269,36,26,3,-207,-360,7,64,47,11,36,20,22,34,23,5,11,-18,-17,-12,-1,13,14,6,-86,-110,13,31,34,0,22,11,12,24,15,2,6,-1,-5,-2,-268,23,12,-3,-121,-250,-6,33,13,11,14,9,10,10,8,3,5,-17,-12,-10
32000,島根県,60000,移動者,100,21大都市計,-656,38,15,13,-395,-682,57,92,19,0,47,43,58,51,34,17,2,-24,-18,-23,-272,19,8,9,-188,-316,28,56,0,-1,31,15,26,24,20,12,2,-5,-5,-7,-384,19,7,4,-207,-366,29,36,19,1,16,28,32,27,14,5,0,-19,-13,-16
32000,島根県,60000,移動者,1100,札幌市,-2,-2,3,1,-5,4,5,-2,-2,1,0,-2,1,-1,-1,-1,0,0,-1,0,-5,0,1,1,-4,2,2,-1,-4,1,1,-2,0,-1,0,0,0,0,-1,0,3,-2,2,0,-1,2,3,-1,2,0,-1,0,1,0,-1,-1,0,0,0,0
32000,島根県,60000,移動者,4100,仙台市,0,0,2,0,-4,0,-2,0,-1,-1,2,1,1,0,1,1,0,0,0,0,4,0,1,0,-1,1,-1,0,0,-1,2,1,1,0,0,1,0,0,0,0,-4,0,1,0,-3,-1,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0
32000,島根県,60000,移動者,11100,さいたま市,-22,-1,-2,0,-8,-3,-7,4,-2,1,0,-1,3,0,1,0,-1,-5,0,-1,-15,0,-1,0,-7,0,-6,2,-2,1,-1,0,2,0,1,0,-1,-3,0,0,-7,-1,-1,0,-1,-3,-1,2,0,0,1,-1,1,0,0,0,0,-2,0,-1
32000,島根県,60000,移動者,12100,千葉市,-12,-2,-2,-1,-3,-2,-2,3,-1,2,-1,-3,-1,2,1,-2,0,0,0,0,-7,0,-1,-1,0,-4,-1,0,0,2,0,-2,-1,1,1,-1,0,0,0,0,-5,-2,-1,0,-3,2,-1,3,-1,0,-1,-1,0,1,0,-1,0,0,0,0
32000,島根県,60000,移動者,13100,東京都特別区部,-160,12,4,2,-51,-193,-22,15,21,10,19,3,10,3,8,6,-5,2,-3,-1,-106,7,0,2,-20,-117,-9,4,1,8,9,1,2,1,4,3,-2,1,0,-1,-54,5,4,0,-31,-76,-13,11,20,2,10,2,8,2,4,3,-3,1,-3,0
32000,島根県,60000,移動者,14100,横浜市,-21,-2,2,-2,-2,-37,1,-2,3,-4,0,4,5,10,3,2,-2,0,0,0,-9,2,2,-1,-4,-17,-1,-1,2,-4,0,2,3,4,2,2,0,0,0,0,-12,-4,0,-1,2,-20,2,-1,1,0,0,2,2,6,1,0,-2,0,0,0
32000,島根県,60000,移動者,14130,川崎市,-9,5,-3,1,-2,-32,3,6,2,-6,3,7,0,4,1,2,2,-1,0,-1,-4,3,-1,1,-1,-17,1,3,0,-4,2,6,-1,1,1,1,1,0,0,0,-5,2,-2,0,-1,-15,2,3,2,-2,1,1,1,3,0,1,1,-1,0,-1
32000,島根県,60000,移動者,14150,相模原市,3,2,1,1,-4,-2,0,1,1,2,-1,0,0,1,2,-1,0,0,0,0,4,1,1,1,-2,-1,2,0,-1,1,0,0,0,0,1,0,0,1,0,0,-1,1,0,0,-2,-1,-2,1,2,1,-1,0,0,1,1,-1,0,-1,0,0
32000,島根県,60000,移動者,15100,新潟市,1,0,0,0,-1,1,1,1,-1,1,-1,-1,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,0,0,-1,1,0,0,-1,1,0,0,0,0,0,0,1,0,0,0
32000,島根県,60000,移動者,22100,静岡市,-25,-7,-1,0,3,-8,-2,-3,-7,-1,0,1,0,0,0,0,0,0,0,0,-16,-6,-1,0,1,-4,0,-2,-4,-1,0,1,0,0,0,0,0,0,0,0,-9,-1,0,0,2,-4,-2,-1,-3,0,0,0,0,0,0,0,0,0,0,0
32000,島根県,60000,移動者,22130,浜松市,6,1,0,-3,0,0,5,-1,3,1,-2,1,1,1,0,-1,0,0,0,0,-2,1,0,-1,-1,-1,1,-1,2,1,-3,0,1,0,0,-1,0,0,0,0,8,0,0,-2,1,1,4,0,1,0,1,1,0,1,0,0,0,0,0,0
32000,島根県,60000,移動者,23100,名古屋市,-6,5,5,0,1,-17,-8,9,-2,-2,2,4,1,-2,-1,1,-1,0,0,-1,-1,4,3,-1,2,-7,-5,9,-4,0,0,1,0,-2,-1,0,0,0,0,0,-5,1,2,1,-1,-10,-3,0,2,-2,2,3,1,0,0,1,-1,0,0,-1
32000,島根県,60000,移動者,26100,京都市,-57,8,1,-2,-41,-47,3,12,2,4,-1,3,0,4,-1,3,-2,-2,-1,0,-4,5,2,-2,-19,-9,3,8,4,2,0,2,-1,3,0,2,-2,-1,0,-1,-53,3,-1,0,-22,-38,0,4,-2,2,-1,1,1,1,-1,1,0,-1,-1,1
32000,島根県,60000,移動者,27100,大阪市,-144,1,4,-2,-61,-136,2,6,12,-5,13,0,6,8,6,0,4,-3,1,0,-43,0,3,0,-31,-44,-5,2,8,-3,9,-1,3,8,6,-2,3,1,0,0,-101,1,1,-2,-30,-92,7,4,4,-2,4,1,3,0,0,2,1,-4,1,0
32000,島根県,60000,移動者,27140,堺市,-1,2,-1,3,-5,-8,9,3,-1,2,2,0,2,-1,0,0,0,-3,-2,-3,8,1,-1,1,-4,-3,9,2,0,0,2,1,1,0,1,0,0,0,-1,-1,-9,1,0,2,-1,-5,0,1,-1,2,0,-1,1,-1,-1,0,0,-3,-1,-2
32000,島根県,60000,移動者,28100,神戸市,-43,0,1,0,-48,-35,10,5,4,-1,3,4,6,7,2,-5,0,-1,3,2,-12,0,0,0,-18,-7,-2,1,4,-2,-1,2,6,2,1,-1,0,1,0,2,-31,0,1,0,-30,-28,12,4,0,1,4,2,0,5,1,-4,0,-2,3,0
32000,島根県,60000,移動者,33100,岡山市,-62,7,-2,-3,-17,-46,0,11,6,-3,-14,-3,5,2,0,1,2,-3,-4,-1,-31,2,0,-2,-6,-24,-3,6,5,0,-9,-5,4,2,-1,0,2,-2,0,0,-31,5,-2,-1,-11,-22,3,5,1,-3,-5,2,1,0,1,1,0,-1,-4,-1
32000,島根県,60000,移動者,34100,広島市,33,7,7,17,-105,-63,80,41,-10,-3,21,23,17,14,9,13,0,-7,-11,-17,37,-1,0,10,-50,-33,52,29,-7,-1,16,9,7,7,3,7,-1,-2,-3,-5,-4,8,7,7,-55,-30,28,12,-3,-2,5,14,10,7,6,6,1,-5,-8,-12
32000,島根県,60000,移動者,40100,北九州市,-43,-1,0,3,-21,-18,-10,-6,3,-2,0,2,1,2,3,0,1,0,0,0,-23,-1,1,2,-7,-13,-7,-3,0,-2,1,2,1,0,2,1,0,0,0,0,-20,0,-1,1,-14,-5,-3,-3,3,0,-1,0,0,2,1,-1,1,0,0,0
32000,島根県,60000,移動者,40130,福岡市,-93,1,-5,0,-23,-37,-5,-9,-13,2,0,-1,-1,-2,1,-1,2,-1,0,-1,-48,0,-2,0,-16,-16,-2,-1,-5,0,1,-2,-2,-1,-1,0,1,-1,0,-1,-45,1,-3,0,-7,-21,-3,-8,-8,2,-1,1,1,-1,2,-1,1,0,0,0
32000,島根県,60000,移動者,43100,熊本市,1,2,1,-2,2,-3,-4,-2,2,2,2,1,1,0,-1,-1,0,0,0,1,1,1,1,-1,0,-2,-1,-2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,-1,2,-1,-3,0,1,1,-1,1,1,0,-1,-1,0,0,0,1
33000,岡山県,60000,移動者,0,全国,-3195,-62,-21,-77,-285,-1726,-1078,-343,39,82,-15,27,88,94,83,49,3,-16,-15,-21,-1385,17,3,-51,-235,-848,-417,-166,56,36,-7,38,53,56,43,35,8,3,-2,-7,-1810,-79,-24,-26,-50,-878,-661,-177,-17,46,-8,-11,35,38,40,14,-5,-19,-13,-14
33000,岡山県,60000,移動者,1000,北海道,41,7,8,-5,-7,13,0,11,22,-3,-3,4,-1,1,-4,-1,0,-1,1,-1,14,-2,8,-2,-6,1,2,5,11,-3,1,4,1,-1,-4,0,-1,0,0,0,27,9,0,-3,-1,12,-2,6,11,0,-4,0,-2,2,0,-1,1,-1,1,-1
33000,岡山県,60000,移動者,2000,青森県,-3,-6,-2,-2,2,-1,-1,2,-2,3,2,0,0,1,0,1,0,0,0,0,-1,-3,-3,0,1,-1,-1,2,4,1,1,-2,1,0,0,-1,0,0,0,0,-2,-3,1,-2,1,0,0,0,-6,2,1,2,-1,1,0,2,0,0,0,0
33000,岡山県,60000,移動者,3000,岩手県,-1,1,1,0,3,1,-4,-2,-5,-1,4,2,0,0,0,-2,0,1,0,0,-5,-1,0,0,3,-1,1,-2,-5,-2,2,1,0,0,0,-1,0,0,0,0,4,2,1,0,0,2,-5,0,0,1,2,1,0,0,0,-1,0,1,0,0
33000,岡山県,60000,移動者,4000,宮城県,-18,-10,2,3,-6,-14,-11,12,-3,-4,2,8,5,3,-4,0,-1,0,0,0,-10,-6,1,1,-7,-8,-5,10,0,-4,0,7,0,4,-4,1,0,0,0,0,-8,-4,1,2,1,-6,-6,2,-3,0,2,1,5,-1,0,-1,-1,0,0,0
33000,岡山県,60000,移動者,5000,秋田県,-12,-7,-1,-3,1,5,1,-2,-3,-3,-4,1,0,2,1,1,1,0,-2,0,-1,-2,-1,0,0,4,-1,1,-1,0,-3,0,0,0,1,0,1,0,0,0,-11,-5,0,-3,1,1,2,-3,-2,-3,-1,1,0,2,0,1,0,0,-2,0
33000,岡山県,60000,移動者,6000,山形県,-28,0,-3,-1,2,-1,-7,-5,-4,-5,-3,-1,1,0,0,0,-1,0,0,0,-12,0,-1,0,3,-2,-4,-3,0,-1,-3,0,1,-1,0,0,-1,0,0,0,-16,0,-2,-1,-1,1,-3,-2,-4,-4,0,-1,0,1,0,0,0,0,0,0
33000,岡山県,60000,移動者,7000,福島県,12,2,-1,0,6,-1,-9,1,6,1,-1,2,2,2,2,1,1,-1,-1,0,7,2,0,1,4,-4,-8,3,4,0,0,2,-1,2,1,1,1,0,-1,0,5,0,-1,-1,2,3,-1,-2,2,1,-1,0,3,0,1,0,0,-1,0,0
33000,岡山県,60000,移動者,8000,茨城県,59,12,1,-5,30,35,-1,-3,-3,2,-2,3,-3,-1,0,-3,-1,0,0,-2,19,3,2,0,2,11,8,-4,-2,4,-1,1,-3,1,1,-3,0,-1,0,0,40,9,-1,-5,28,24,-9,1,-1,-2,-1,2,0,-2,-1,0,-1,1,0,-2
33000,岡山県,60000,移動者,9000,栃木県,-27,2,-1,-1,-10,-10,2,4,-3,-3,-5,-2,3,-3,1,0,0,-2,1,0,-7,-1,-2,-1,-7,-2,4,6,-1,-1,-4,-1,2,0,1,0,0,0,0,0,-20,3,1,0,-3,-8,-2,-2,-2,-2,-1,-1,1,-3,0,0,0,-2,1,0
33000,岡山県,60000,移動者,10000,群馬県,-68,-6,0,3,-6,-15,-20,-15,-5,1,3,-1,0,-4,0,0,0,-1,-2,0,-37,-2,2,1,-4,-7,-13,-6,-5,-3,2,2,0,-2,0,0,0,0,-2,0,-31,-4,-2,2,-2,-8,-7,-9,0,4,1,-3,0,-2,0,0,0,-1,0,0
33000,岡山県,60000,移動者,11000,埼玉県,-150,4,2,-14,-16,-108,-33,-15,3,7,0,-7,9,15,8,3,-2,-8,2,0,-77,11,4,-6,-13,-61,-20,-13,4,10,0,-6,5,9,5,0,-2,-5,1,0,-73,-7,-2,-8,-3,-47,-13,-2,-1,-3,0,-1,4,6,3,3,0,-3,1,0
33000,岡山県,60000,移動者,12000,千葉県,-194,-16,1,-1,-34,-79,-69,-42,-1,15,8,-11,17,-2,11,7,3,-3,2,0,-105,1,5,-2,-28,-46,-48,-19,2,8,12,-6,5,-2,4,5,1,0,2,1,-89,-17,-4,1,-6,-33,-21,-23,-3,7,-4,-5,12,0,7,2,2,-3,0,-1
33000,岡山県,60000,移動者,13000,東京都,-956,8,3,3,-175,-673,-271,-63,28,56,35,27,30,28,12,2,6,-2,-6,-4,-346,26,6,8,-80,-298,-127,-25,13,25,34,18,19,19,4,6,5,2,1,-2,-610,-18,-3,-5,-95,-375,-144,-38,15,31,1,9,11,9,8,-4,1,-4,-7,-2
33000,岡山県,60000,移動者,14000,神奈川県,-389,9,-17,-10,-67,-239,-84,-23,12,-1,-2,-11,28,16,15,7,-4,-3,-13,-2,-196,9,-13,-6,-40,-130,-45,-12,7,2,4,-6,14,4,14,7,0,0,-3,-2,-193,0,-4,-4,-27,-109,-39,-11,5,-3,-6,-5,14,12,1,0,-4,-3,-10,0
33000,岡山県,60000,移動者,15000,新潟県,44,4,6,-1,-6,-1,16,5,0,6,12,-1,2,0,2,1,0,-1,0,0,21,3,0,-1,-6,1,7,3,0,4,9,-3,3,0,1,1,0,-1,0,0,23,1,6,0,0,-2,9,2,0,2,3,2,-1,0,1,0,0,0,0,0
33000,岡山県,60000,移動者,16000,富山県,-31,-5,3,0,2,-1,-10,-5,2,-7,-5,0,-4,-1,0,0,0,0,0,0,-29,-3,2,-1,0,-7,-6,-4,1,-5,-3,-1,0,-1,0,-1,0,0,0,0,-2,-2,1,1,2,6,-4,-1,1,-2,-2,1,-4,0,0,1,0,0,0,0
33000,岡山県,60000,移動者,17000,石川県,41,-2,-2,1,-4,9,17,4,2,7,13,0,0,-2,-1,0,0,0,-1,0,17,-4,0,0,-1,5,8,-1,1,1,8,1,1,-2,0,0,0,0,0,0,24,2,-2,1,-3,4,9,5,1,6,5,-1,-1,0,-1,0,0,0,-1,0
33000,岡山県,60000,移動者,18000,福井県,-11,1,4,1,-2,-9,-1,-9,-3,-1,3,1,2,4,-1,-2,2,0,-1,0,-2,1,2,0,0,-3,-3,-1,2,-4,3,-1,1,3,-1,-2,1,0,0,0,-9,0,2,1,-2,-6,2,-8,-5,3,0,2,1,1,0,0,1,0,-1,0
33000,岡山県,60000,移動者,19000,山梨県,-26,-4,-1,-1,-5,-5,5,-6,-1,-6,0,-2,-1,1,1,0,2,0,-2,-1,-7,-3,-1,0,0,1,6,-6,-2,-2,0,-2,1,1,0,0,1,1,-1,-1,-19,-1,0,-1,-5,-6,-1,0,1,-4,0,0,-2,0,1,0,1,-1,-1,0
33000,岡山県,60000,移動者,20000,長野県,-15,1,0,2,1,-5,-5,-15,-2,-2,4,3,1,0,5,0,0,-2,0,-1,-15,2,1,-1,-1,-3,-2,-7,-2,-3,-1,2,-1,0,3,0,0,-2,0,0,0,-1,-1,3,2,-2,-3,-8,0,1,5,1,2,0,2,0,0,0,0,-1
33000,岡山県,60000,移動者,21000,岐阜県,54,6,6,3,12,15,-10,0,-1,4,6,-2,7,3,2,0,2,0,1,0,28,2,1,-1,11,10,-5,-2,-4,1,5,-1,4,3,2,0,1,0,1,0,26,4,5,4,1,5,-5,2,3,3,1,-1,3,0,0,0,1,0,0,0
33000,岡山県,60000,移動者,22000,静岡県,-65,0,0,2,-1,-33,-33,-15,-4,-16,10,8,7,2,5,1,4,0,-1,-1,-52,4,2,-1,-4,-28,-16,-13,-1,-15,4,7,2,3,3,-1,2,0,1,-1,-13,-4,-2,3,3,-5,-17,-2,-3,-1,6,1,5,-1,2,2,2,0,-2,0
33000,岡山県,60000,移動者,23000,愛知県,-217,4,11,7,-23,-155,-64,-54,25,1,6,16,11,6,7,0,-9,-3,-4,1,-193,-5,3,0,-30,-95,-39,-37,13,-20,-7,9,5,6,6,0,-2,0,0,0,-24,9,8,7,7,-60,-25,-17,12,21,13,7,6,0,1,0,-7,-3,-4,1
33000,岡山県,60000,移動者,24000,三重県,-31,4,3,-1,5,-27,-29,-8,-3,2,4,10,6,2,-2,0,1,3,0,-1,-28,3,0,-1,-4,-21,-25,3,1,0,2,3,5,3,0,0,0,3,0,0,-3,1,3,0,9,-6,-4,-11,-4,2,2,7,1,-1,-2,0,1,0,0,-1
33000,岡山県,60000,移動者,25000,滋賀県,-45,2,0,3,-4,-21,-10,-7,-5,-5,7,2,3,-3,-2,1,-2,1,-2,-3,-27,-2,-2,2,-5,-4,-4,-12,-4,-2,4,3,1,-2,0,1,-1,0,0,0,-18,4,2,1,1,-17,-6,5,-1,-3,3,-1,2,-1,-2,0,-1,1,-2,-3
33000,岡山県,60000,移動者,26000,京都府,-211,8,13,-7,-65,-124,-42,11,23,9,-14,-16,-6,2,3,2,-2,3,-2,-7,-57,7,10,-8,-23,-42,-21,7,21,4,-15,-9,6,-2,2,3,-1,3,0,1,-154,1,3,1,-42,-82,-21,4,2,5,1,-7,-12,4,1,-1,-1,0,-2,-8
33000,岡山県,60000,移動者,27000,大阪府,-890,31,3,-22,-192,-592,-178,-41,12,-6,-13,-1,26,45,35,22,-2,-4,-7,-6,-322,24,-3,-11,-99,-225,-70,-33,2,10,-2,3,15,27,23,11,3,1,2,0,-568,7,6,-11,-93,-367,-108,-8,10,-16,-11,-4,11,18,12,11,-5,-5,-9,-6
33000,岡山県,60000,移動者,28000,兵庫県,-589,-70,-15,-18,-76,-243,-88,-57,12,3,-47,-6,-2,29,13,0,0,-2,-6,-16,-162,-25,-2,-9,-34,-77,-14,-20,15,21,-21,0,-1,13,0,1,4,-5,-4,-4,-427,-45,-13,-9,-42,-166,-74,-37,-3,-18,-26,-6,-1,16,13,-1,-4,3,-2,-12
33000,岡山県,60000,移動者,29000,奈良県,22,-2,-1,-2,-8,22,21,12,-6,2,-12,4,1,1,-5,4,0,-2,-2,-5,21,2,-1,-2,-6,13,15,7,-2,-1,-7,2,2,-1,-2,3,0,0,-1,0,1,-4,0,0,-2,9,6,5,-4,3,-5,2,-1,2,-3,1,0,-2,-1,-5
33000,岡山県,60000,移動者,30000,和歌山県,4,-3,1,-1,8,10,-5,1,-5,1,5,-2,-1,-4,-1,1,0,0,-1,0,15,-1,1,-1,2,3,-1,4,2,1,6,0,0,-2,0,1,0,0,0,0,-11,-2,0,0,6,7,-4,-3,-7,0,-1,-2,-1,-2,-1,0,0,0,-1,0
33000,岡山県,60000,移動者,31000,鳥取県,-27,-11,-8,-2,25,22,-3,-27,-5,-10,-1,10,2,-15,0,-6,-3,-3,1,7,-36,-3,-7,-5,3,-8,5,-14,-5,-8,7,13,0,-11,3,-3,-3,0,-1,1,9,-8,-1,3,22,30,-8,-13,0,-2,-8,-3,2,-4,-3,-3,0,-3,2,6
33000,岡山県,60000,移動者,32000,島根県,34,-9,-10,4,31,42,6,-13,-16,-6,10,-2,-10,-5,0,1,0,4,6,1,8,1,-4,3,10,15,14,-4,-13,-7,2,0,-10,-4,2,0,-1,2,1,1,26,-10,-6,1,21,27,-8,-9,-3,1,8,-2,0,-1,-2,1,1,2,5,0
33000,岡山県,60000,移動者,33000,岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33000,岡山県,60000,移動者,34000,広島県,158,-5,0,-1,21,236,-67,2,-19,23,-22,8,-25,-1,-6,10,-6,11,-1,0,94,-24,2,-6,-4,124,-3,10,2,13,-6,5,-19,4,-2,6,-4,2,-4,-2,64,19,-2,5,25,112,-64,-8,-21,10,-16,3,-6,-5,-4,4,-2,9,3,2
33000,岡山県,60000,移動者,35000,山口県,-33,-9,0,-9,25,25,-21,24,-19,-8,-21,-20,-2,-7,-4,2,-1,2,6,4,-30,-4,6,-5,1,3,1,16,-13,-2,-13,-12,-1,-6,-2,0,0,1,0,0,-3,-5,-6,-4,24,22,-22,8,-6,-6,-8,-8,-1,-1,-2,2,-1,1,6,4
33000,岡山県,60000,移動者,36000,徳島県,-9,5,1,0,4,21,-6,-8,-12,15,-9,-10,-5,0,-1,-1,-6,-3,4,2,-8,5,2,-1,3,6,2,-3,-5,7,-8,-8,-2,0,-1,0,-3,-2,0,0,-1,0,-1,1,1,15,-8,-5,-7,8,-1,-2,-3,0,0,-1,-3,-1,4,2
33000,岡山県,60000,移動者,37000,香川県,90,-22,-12,-4,62,42,17,-18,5,-14,14,4,4,3,4,-1,4,-3,1,4,64,-13,-4,2,30,11,34,-13,4,-4,0,8,-2,4,4,-2,1,1,1,2,26,-9,-8,-6,32,31,-17,-5,1,-10,14,-4,6,-1,0,1,3,-4,0,2
33000,岡山県,60000,移動者,38000,愛媛県,258,33,-2,-3,69,99,3,18,18,4,7,3,-6,-1,-4,5,5,1,6,3,67,15,-2,-1,27,11,-5,12,6,0,2,3,-1,1,-8,5,-1,1,2,0,191,18,0,-2,42,88,8,6,12,4,5,0,-5,-2,4,0,6,0,4,3
33000,岡山県,60000,移動者,39000,高知県,105,4,5,3,18,30,11,7,8,2,3,15,0,-4,0,-3,1,3,1,2,41,7,3,0,10,-8,8,2,3,3,1,8,4,-2,0,-1,2,0,1,0,64,-3,2,3,8,38,3,5,5,-1,2,7,-4,-2,0,-2,-1,3,0,2
33000,岡山県,60000,移動者,40000,福岡県,-156,-10,-19,2,-9,1,-54,-23,-1,2,-7,-21,-7,-9,-5,1,6,-6,-1,4,-60,-7,-12,1,-6,25,-22,-12,2,2,-8,-14,1,-4,-10,1,4,0,0,-1,-96,-3,-7,1,-3,-24,-32,-11,-3,0,1,-7,-8,-5,5,0,2,-6,-1,5
33000,岡山県,60000,移動者,41000,佐賀県,-8,-2,-5,-5,14,-6,-2,3,-3,3,-5,5,0,-4,-3,0,2,0,2,-2,-9,-1,-5,-3,8,-9,-4,5,3,3,-7,5,0,-2,-3,0,1,0,0,0,1,-1,0,-2,6,3,2,-2,-6,0,2,0,0,-2,0,0,1,0,2,-2
33000,岡山県,60000,移動者,42000,長崎県,81,1,2,2,30,26,1,7,3,6,8,5,-2,-4,0,-3,1,-3,1,0,41,0,2,1,15,9,1,6,4,2,3,6,-1,-2,-2,-2,0,-1,0,0,40,1,0,1,15,17,0,1,-1,4,5,-1,-1,-2,2,-1,1,-2,1,0
33000,岡山県,60000,移動者,43000,熊本県,6,4,4,1,15,3,-20,0,-3,6,-2,4,-6,-2,2,-2,1,-1,2,0,-15,2,3,-1,10,2,-13,-5,-5,2,-5,-2,-3,-2,0,1,0,0,1,0,21,2,1,2,5,1,-7,5,2,4,3,6,-3,0,2,-3,1,-1,1,0
33000,岡山県,60000,移動者,44000,大分県,17,1,3,0,14,-6,7,8,1,1,-6,-1,-2,0,-2,-2,0,0,0,1,3,1,1,-1,3,1,4,3,0,3,-6,-2,-1,-1,0,-2,0,0,0,0,14,0,2,1,11,-7,3,5,1,-2,0,1,-1,1,-2,0,0,0,0,1
33000,岡山県,60000,移動者,45000,宮崎県,-2,-3,-2,0,-1,-4,-14,0,-2,5,12,-2,0,2,1,2,-1,4,1,0,9,-4,0,2,7,1,-3,-3,-3,2,7,0,1,0,0,0,-1,2,1,0,-11,1,-2,-2,-8,-5,-11,3,1,3,5,-2,-1,2,1,2,0,2,0,0
33000,岡山県,60000,移動者,46000,鹿児島県,-1,-6,1,2,14,-2,-5,3,0,-4,-7,0,-1,-2,-2,0,2,2,2,2,-20,-2,-2,3,7,-6,-11,3,-1,-5,-4,-1,-1,-2,1,0,1,0,0,0,19,-4,3,-1,7,4,6,0,1,1,-3,1,0,0,-3,0,1,2,2,2
33000,岡山県,60000,移動者,47000,沖縄県,-8,-8,-3,0,18,-8,-8,-2,-4,0,-2,1,5,0,0,0,0,3,0,0,15,4,-1,1,13,-9,2,0,3,-1,-2,2,0,1,1,0,0,1,0,0,-23,-12,-2,-1,5,1,-10,-2,-7,1,0,-1,5,-1,-1,0,0,2,0,0
