,,,,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上
全国・都道府県コード,全国・都道府県,国籍コード,国籍,移動前・移動後の住所地コード,移動前・移動後の住所地,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人
1000,北海道,60000,移動者,15000,新潟県,86,-1,-4,9,20,8,4,11,5,3,3,8,13,-2,0,5,2,-2,5,-1,88,-1,-3,5,17,6,14,14,13,5,-4,7,9,-2,1,2,3,0,2,0,-2,0,-1,4,3,2,-10,-3,-8,-2,7,1,4,0,-1,3,-1,-2,3,-1
1000,北海道,60000,移動者,16000,富山県,24,7,0,2,2,8,3,-2,-1,2,9,1,-5,2,-2,0,-1,-2,0,1,19,4,1,0,-3,9,7,-1,-2,-1,9,2,-4,0,0,0,-1,-1,0,0,5,3,-1,2,5,-1,-4,-1,1,3,0,-1,-1,2,-2,0,0,-1,0,1
1000,北海道,60000,移動者,17000,石川県,10,9,1,2,-25,9,21,-6,-2,1,2,-3,-1,-1,3,3,0,0,-3,0,16,3,-1,2,-5,8,15,-9,1,1,1,-7,2,0,3,2,1,0,-1,0,-6,6,2,0,-20,1,6,3,-3,0,1,4,-3,-1,0,1,-1,0,-2,0
1000,北海道,60000,移動者,18000,福井県,-3,1,6,3,-5,-12,4,4,2,2,2,-1,-1,0,-4,-1,-1,-1,-1,0,-19,-4,3,-1,-2,-11,-1,1,-1,1,2,0,-1,0,-3,-1,0,0,-1,0,16,5,3,4,-3,-1,5,3,3,1,0,-1,0,0,-1,0,-1,-1,0,0
1000,北海道,60000,移動者,19000,山梨県,22,13,8,-1,-19,-16,3,2,17,10,10,2,1,-3,0,3,0,-5,-2,-1,27,3,7,0,-1,-10,1,-1,14,3,10,0,2,-2,0,3,0,-1,-1,0,-5,10,1,-1,-18,-6,2,3,3,7,0,2,-1,-1,0,0,0,-4,-1,-1
1000,北海道,60000,移動者,20000,長野県,27,-6,-4,1,33,7,26,-2,-16,-3,12,5,-4,-14,-3,-5,0,-5,4,1,4,-1,-5,-3,19,1,7,-9,-7,-5,8,9,1,-4,-1,-1,-2,-1,0,-2,23,-5,1,4,14,6,19,7,-9,2,4,-4,-5,-10,-2,-4,2,-4,4,3
1000,北海道,60000,移動者,21000,岐阜県,48,2,-3,1,28,8,5,1,-8,2,4,3,1,1,4,1,1,-1,-2,0,16,-2,-3,-1,13,3,4,6,-5,-2,1,3,0,-1,0,0,1,-1,0,0,32,4,0,2,15,5,1,-5,-3,4,3,0,1,2,4,1,0,0,-2,0
1000,北海道,60000,移動者,22000,静岡県,107,4,-1,5,109,-9,-10,-9,27,-6,-14,-8,-7,11,11,3,2,4,-3,-2,101,-10,-5,3,82,13,8,-7,21,-9,-14,-6,-3,6,13,6,0,2,0,1,6,14,4,2,27,-22,-18,-2,6,3,0,-2,-4,5,-2,-3,2,2,-3,-3
1000,北海道,60000,移動者,23000,愛知県,-35,43,12,11,37,-215,-32,-34,36,11,5,30,12,31,23,1,3,-6,-2,-1,44,12,1,9,32,-101,0,-5,20,0,5,14,11,25,19,6,3,-4,-4,1,-79,31,11,2,5,-114,-32,-29,16,11,0,16,1,6,4,-5,0,-2,2,-2
1000,北海道,60000,移動者,24000,三重県,-31,1,3,3,15,-26,-15,-8,-4,5,-5,5,-3,0,-1,0,0,1,0,-2,-22,1,2,-3,14,-14,-6,-5,-6,3,-10,2,-1,-1,0,0,1,1,1,-1,-9,0,1,6,1,-12,-9,-3,2,2,5,3,-2,1,-1,0,-1,0,-1,-1
1000,北海道,60000,移動者,25000,滋賀県,20,1,0,1,-1,12,-14,7,0,1,-1,1,-3,0,4,8,5,-1,1,-1,24,5,1,1,-5,17,-9,5,1,2,0,0,-3,-1,2,4,3,0,1,0,-4,-4,-1,0,4,-5,-5,2,-1,-1,-1,1,0,1,2,4,2,-1,0,-1
1000,北海道,60000,移動者,26000,京都府,37,6,12,11,-77,-13,22,27,20,7,4,11,15,-8,-3,-1,3,-2,4,-1,50,4,12,10,-42,4,26,7,12,5,1,11,13,-7,-3,-1,1,-3,1,-1,-13,2,0,1,-35,-17,-4,20,8,2,3,0,2,-1,0,0,2,1,3,0
1000,北海道,60000,移動者,27000,大阪府,-76,-2,0,-11,-89,-69,19,6,2,-2,0,10,18,16,15,-2,11,7,-2,-3,7,4,-6,-6,-29,-2,5,-4,0,4,-11,7,13,14,1,7,6,5,0,-1,-83,-6,6,-5,-60,-67,14,10,2,-6,11,3,5,2,14,-9,5,2,-2,-2
