Name,categories,Country,2016,2017,2018,2019,2020
Albania,Expenditure on pollution abatement,AL,0.1771,0.1668,0.0511,0.0672,0.0758
Albania,Expenditure on post-secondary non-tertiary education,AL,0.0,0.0,0.0,0.0,0.0
Albania,Expenditure on pre-primary & primary education,AL,1.7684,1.7529,1.7975,1.845,1.8727
Albania,Expenditure on prisons,AL,0.3592,0.3337,0.3515,0.348,0.3475
Albania,Expenditure on public health services,AL,0.1863,0.1813,0.1882,0.1701,0.1954
Albania,Expenditure on public order & safety,AL,1.7282,1.7238,1.744,1.8406,2.011
Albania,"Expenditure on recreation, culture, & religion",AL,0.4316,0.4153,0.4513,0.4353,0.4255
Albania,Expenditure on recreational & sporting services,AL,0.112,0.0757,0.1123,0.1016,0.0799
Albania,Expenditure on religious & community services,AL,0.0083,0.008,0.0075,0.0074,0.0076
Albania,Expenditure on secondary education,AL,0.6682,0.6558,0.6824,0.7241,0.7305
Albania,Expenditure on sickness  & disability,AL,0.0316,0.0383,0.033,0.0306,0.0146
Albania,Expenditure on social protection,AL,9.4555,9.2907,9.2405,9.4658,11.055
Albania,Expenditure on street lighting,AL,0.0,0.0,0.0051,0.0387,0.0612
Albania,Expenditure on subsidiary services to education,AL,0.0,0.0,0.0003,0.0,0.0
Albania,Expenditure on survivors,AL,0.0,0.0,0.0,0.0,0.0
Albania,Expenditure on tertiary education,AL,0.6648,0.6512,0.6426,0.7072,0.7147
Albania,Expenditure on transport,AL,1.9819,2.4141,2.0238,2.0204,2.306
Albania,Expenditure on unemployment,AL,0.1227,0.0958,0.0752,0.0918,0.8535
Albania,Expenditure on waste management,AL,0.0,0.0,0.024,0.1015,0.2357
Albania,Expenditure on waste water management,AL,0.0,0.0,0.0003,0.0084,0.0079
Albania,Expenditure on water supply,AL,0.6904,0.5958,0.4992,0.5572,0.7198
Armenia,Expenditure,AM,30.3306,27.5613,25.0971,25.6054,31.1269
Armenia,"Expenditure on agriculture, fishing, forestry, & hunting",AM,,0.7777,0.4683,0.5148,0.5487
Armenia,Expenditure on biodiversity & landscape protection,AM,,0.0598,0.0739,0.0537,0.0204
Armenia,Expenditure on broadcasting & publishing ,AM,,0.1565,0.1434,0.1697,0.1554
Armenia,Expenditure on civil defense,AM,,0.0002,0.0,0.0005,0.0008
Armenia,Expenditure on communication,AM,,0.0062,0.0051,0.0039,0.0043
Armenia,Expenditure on community development,AM,,0.0063,0.0847,0.0085,0.0042
Armenia,Expenditure on cultural services,AM,,0.4163,0.3719,0.3461,0.3442
Armenia,Expenditure on defense,AM,,5.2922,3.9639,4.8053,6.2723
Armenia,Expenditure on economic affairs,AM,,2.1316,2.1741,1.9162,2.3172
Armenia,"Expenditure on economic, commercial, & labour affairs",AM,,0.0732,0.0716,0.0604,0.2758
Armenia,Expenditure on education,AM,,2.4505,2.2559,2.5618,2.9796
Armenia,Expenditure on education not definable by level,AM,,0.2534,0.2318,0.2123,0.1088
Armenia,Expenditure on environment protection,AM,,0.3267,0.3806,0.3377,0.3426
Armenia,Expenditure on family & children,AM,,1.1489,1.0046,0.8943,1.1035
Armenia,Expenditure on fire protection services,AM,,0.1543,0.1444,0.1795,0.1988
Armenia,Expenditure on foreign military aid,AM,,0.0029,0.0019,0.0113,0.0119
Armenia,Expenditure on fuel & energy,AM,,0.1887,0.2789,0.099,0.0238
Armenia,Expenditure on general public services,AM,,5.2356,5.0253,4.5294,4.9504
Armenia,Expenditure on health,AM,,1.5229,1.366,1.5234,2.3797
Armenia,Expenditure on hospital services,AM,,0.7164,0.6634,0.7878,0.9091
Armenia,Expenditure on housing,AM,,0.0281,0.0093,0.0542,0.0324
Armenia,Expenditure on housing & community amenities,AM,,0.3855,0.3611,0.45,0.362
Armenia,Expenditure on housing development,AM,,0.0805,0.0187,0.1171,0.0785
Armenia,Expenditure on law courts,AM,,0.2131,0.2014,0.2278,0.2378
Armenia,"Expenditure on medical products, appliances, & equip",AM,,0.0648,0.0563,0.0621,0.0802
Armenia,Expenditure on military defense,AM,,5.1476,3.8052,4.6233,6.2074
Armenia,"Expenditure on mining, manufacturing, & construction",AM,,0.0007,0.0008,0.0005,0.0004
Armenia,Expenditure on old age,AM,,5.329,5.1624,4.9322,5.8036
Armenia,Expenditure on outpatient services,AM,,0.4856,0.4495,0.5087,0.5948
Armenia,Expenditure on police services,AM,,1.0747,1.0022,0.9603,1.0069
Armenia,Expenditure on pollution abatement,AM,,0.0015,0.009,0.0041,0.0083
Armenia,Expenditure on post-secondary non-tertiary education,AM,,0.1917,0.1752,0.1558,0.1861
Armenia,Expenditure on pre-primary & primary education,AM,,0.9772,0.9001,0.8427,0.9255
Armenia,Expenditure on prisons,AM,,0.148,0.1337,0.1578,0.1905
Armenia,Expenditure on public health services,AM,,0.0937,0.0628,0.0716,0.6094
Armenia,Expenditure on public order & safety,AM,,2.2026,2.0463,2.187,2.4494
Armenia,"Expenditure on recreation, culture, & religion",AM,,0.6658,0.605,0.6239,0.5866
Armenia,Expenditure on recreational & sporting services,AM,,0.0534,0.05,0.0622,0.0558
Armenia,Expenditure on religious & community services,AM,,0.0214,0.0194,0.0249,0.0274
Armenia,Expenditure on secondary education,AM,,1.1562,1.0489,1.0113,1.1475
Armenia,Expenditure on sickness  & disability,AM,,0.0213,0.0164,0.0174,0.0195
Armenia,Expenditure on social protection,AM,,7.3479,6.9189,6.6708,8.487
Armenia,Expenditure on street lighting,AM,,0.1158,0.1115,0.1341,0.1232
Armenia,Expenditure on subsidiary services to education,AM,,0.2193,0.2096,0.2296,0.3371
Armenia,Expenditure on survivors,AM,,0.092,0.077,0.0714,0.0971
Armenia,Expenditure on tertiary education,AM,,0.3226,0.2647,0.2178,0.242
Armenia,Expenditure on transport,AM,,1.0847,1.3681,1.2795,1.6093
Armenia,Expenditure on unemployment,AM,,0.0095,0.0074,0.0275,0.0321
Armenia,Expenditure on waste management,AM,,0.1806,0.2486,0.201,0.199
Armenia,Expenditure on waste water management,AM,,0.0013,0.002,0.0024,0.0049
Armenia,Expenditure on water supply,AM,,0.113,0.0793,0.1243,0.0735
Australia,Expenditure,AU,36.4922,35.8481,35.8047,35.9099,42.3064
Australia,"Expenditure on agriculture, fishing, forestry, & hunting",AU,0.2457,0.2325,0.2253,0.2309,0.2471
Australia,Expenditure on biodiversity & landscape protection,AU,0.1563,0.157,0.161,0.1618,0.1383
Australia,Expenditure on broadcasting & publishing ,AU,0.0978,0.0781,0.0862,0.0797,0.0838
Australia,Expenditure on civil defense,AU,,,,,
Australia,Expenditure on communication,AU,0.0071,-0.1156,0.0364,0.0192,0.0334
Australia,Expenditure on community development,AU,0.1845,0.1822,0.2117,0.2517,0.2666
Australia,Expenditure on cultural services,AU,0.2632,0.271,0.3009,0.2819,0.2895
Australia,Expenditure on defense,AU,1.8591,1.8659,1.8814,1.9419,2.2206
Australia,Expenditure on economic affairs,AU,3.9563,3.9494,4.2747,4.2937,7.1443
Australia,"Expenditure on economic, commercial, & labour affairs",AU,0.3971,0.3568,0.3884,0.3788,3.012
Australia,Expenditure on education,AU,5.4186,5.3075,5.3934,5.4837,6.1029
Australia,Expenditure on education not definable by level,AU,0.1146,0.1403,0.1542,0.1476,0.1664
Australia,Expenditure on environment protection,AU,0.7688,0.7808,0.8178,0.8105,0.8941
Australia,Expenditure on family & children,AU,2.4019,2.2613,2.1908,2.1485,2.3274
Australia,Expenditure on fire protection services,AU,0.2235,0.208,0.2138,0.2363,0.2741
Australia,Expenditure on foreign military aid,AU,,,,,
Australia,Expenditure on fuel & energy,AU,0.4737,0.474,0.4795,0.4761,0.5179
Australia,Expenditure on general public services,AU,4.2495,4.0731,3.8052,3.7203,3.8511
Australia,Expenditure on health,AU,6.9502,7.1224,6.9963,6.9515,7.5657
Australia,Expenditure on hospital services,AU,2.488,2.6205,2.507,2.4602,2.6992
Australia,Expenditure on housing,AU,0.2305,0.2335,0.2311,0.2113,0.1846
Australia,Expenditure on housing & community amenities,AU,0.4841,0.4639,0.4853,0.537,0.5871
Australia,Expenditure on housing development,AU,0.051,0.049,0.0482,0.043,0.0661
Australia,Expenditure on law courts,AU,0.3522,0.351,0.368,0.3919,0.4061
Australia,"Expenditure on medical products, appliances, & equip",AU,0.7793,0.8229,0.7571,0.7446,0.8056
Australia,Expenditure on military defense,AU,,,,,
Australia,"Expenditure on mining, manufacturing, & construction",AU,0.2398,0.2255,0.1816,0.1747,0.1946
Australia,Expenditure on old age,AU,4.2567,4.0468,3.787,3.8514,4.2352
Australia,Expenditure on outpatient services,AU,0.6215,0.6192,0.6058,0.6275,0.6897
Australia,Expenditure on police services,AU,0.6116,0.6168,0.6024,0.6094,0.6741
Australia,Expenditure on pollution abatement,AU,0.156,0.1933,0.2094,0.207,0.2469
Australia,Expenditure on post-secondary non-tertiary education,AU,0.4112,0.3673,0.389,0.3901,0.516
Australia,Expenditure on pre-primary & primary education,AU,1.5042,1.5032,1.5368,1.5801,1.7406
Australia,Expenditure on prisons,AU,0.2682,0.2854,0.3304,0.3113,0.3472
Australia,Expenditure on public health services,AU,0.2387,0.2957,0.3124,0.3068,0.3361
Australia,Expenditure on public order & safety,AU,1.7461,1.7405,1.8153,1.8529,2.0181
Australia,"Expenditure on recreation, culture, & religion",AU,0.8303,0.7919,0.8588,0.8269,0.8803
Australia,Expenditure on recreational & sporting services,AU,0.4136,0.4004,0.4317,0.4184,0.4545
Australia,Expenditure on religious & community services,AU,0.0,0.0,0.0,0.0,0.0
Australia,Expenditure on secondary education,AU,1.2261,1.2212,1.2307,1.2149,1.361
Australia,Expenditure on sickness  & disability,AU,1.9633,1.9355,2.0688,2.1325,2.5304
Australia,Expenditure on social protection,AU,10.2292,9.7524,9.4765,9.4915,11.0423
Australia,Expenditure on street lighting,AU,0.0,0.0,0.0002,0.0009,0.0003
Australia,Expenditure on subsidiary services to education,AU,0.0911,0.0855,0.0824,0.095,0.0978
Australia,Expenditure on survivors,AU,0.0004,-0.0002,0.0001,-0.0003,0.0072
Australia,Expenditure on tertiary education,AU,1.5953,1.5493,1.5853,1.6371,1.7282
Australia,Expenditure on transport,AU,2.2826,2.4848,2.6736,2.7015,2.8256
Australia,Expenditure on unemployment,AU,0.6623,0.6159,0.5755,0.535,1.0299
Australia,Expenditure on waste management,AU,0.1379,0.144,0.1395,0.1456,0.1672
Australia,Expenditure on waste water management,AU,0.0382,0.0405,0.0423,0.0381,0.0397
Australia,Expenditure on water supply,AU,0.1456,0.146,0.1383,0.145,0.1589
Austria,Expenditure,AT,50.0118,49.2526,48.6895,48.5134,57.0877
Austria,"Expenditure on agriculture, fishing, forestry, & hunting",AT,0.3466,0.3451,0.3432,0.3324,0.3917
Austria,Expenditure on biodiversity & landscape protection,AT,0.0229,0.0202,0.0207,0.0209,0.0214
Austria,Expenditure on broadcasting & publishing ,AT,0.3176,0.3056,0.2869,0.2755,0.2866
Austria,Expenditure on civil defense,AT,0.0008,0.001,0.0008,0.0009,0.0011
Austria,Expenditure on communication,AT,0.052,0.0532,0.0654,0.0508,0.053
Austria,Expenditure on community development,AT,0.0381,0.0394,0.0417,0.0403,0.0434
Austria,Expenditure on cultural services,AT,0.537,0.5345,0.5217,0.5327,0.5285
Austria,Expenditure on defense,AT,0.5934,0.5935,0.5813,0.6013,0.6198
Austria,Expenditure on economic affairs,AT,5.6932,5.8522,5.8522,5.805,9.8134
Austria,"Expenditure on economic, commercial, & labour affairs",AT,1.4102,1.535,1.4776,1.5117,4.9901
Austria,Expenditure on education,AT,4.8905,4.8364,4.7774,4.7841,5.0748
Austria,Expenditure on education not definable by level,AT,0.2327,0.2156,0.2112,0.2222,0.2512
Austria,Expenditure on environment protection,AT,0.3771,0.3585,0.3727,0.3933,0.3934
Austria,Expenditure on family & children,AT,2.2677,2.1644,2.1116,2.0245,2.3952
Austria,Expenditure on fire protection services,AT,0.1696,0.1685,0.1699,0.1628,0.1747
Austria,Expenditure on foreign military aid,AT,0.0,0.0,0.0,0.0,0.0
Austria,Expenditure on fuel & energy,AT,0.0197,0.0256,0.018,0.0154,0.0173
Austria,Expenditure on general public services,AT,6.4027,5.9543,5.8525,5.6917,6.1782
Austria,Expenditure on health,AT,8.172,8.1873,8.2442,8.3026,9.2031
Austria,Expenditure on hospital services,AT,4.6567,4.6551,4.6773,4.6838,5.1255
Austria,Expenditure on housing,AT,0.1112,0.1059,0.102,0.0937,0.0994
Austria,Expenditure on housing & community amenities,AT,0.3428,0.3196,0.3257,0.2978,0.2725
Austria,Expenditure on housing development,AT,0.2053,0.1856,0.1895,0.1633,0.1384
Austria,Expenditure on law courts,AT,0.2849,0.2836,0.2763,0.2706,0.2853
Austria,"Expenditure on medical products, appliances, & equip",AT,1.0937,1.1058,1.107,1.1066,1.2202
Austria,Expenditure on military defense,AT,0.5401,0.5551,0.544,0.5663,0.5832
Austria,"Expenditure on mining, manufacturing, & construction",AT,0.0097,0.0099,0.0098,0.0099,0.0104
Austria,Expenditure on old age,AT,12.6635,12.5855,12.4012,12.5475,13.908
Austria,Expenditure on outpatient services,AT,1.4664,1.476,1.5074,1.5516,1.6411
Austria,Expenditure on police services,AT,0.6802,0.6927,0.6873,0.6796,0.7261
Austria,Expenditure on pollution abatement,AT,0.1279,0.1392,0.148,0.1638,0.1771
Austria,Expenditure on post-secondary non-tertiary education,AT,0.0114,0.0111,0.0105,0.0098,0.0095
Austria,Expenditure on pre-primary & primary education,AT,1.4349,1.4468,1.4404,1.4539,1.5672
Austria,Expenditure on prisons,AT,0.132,0.1395,0.1388,0.1359,0.1533
Austria,Expenditure on public health services,AT,0.1831,0.1819,0.1848,0.1848,0.382
Austria,Expenditure on public order & safety,AT,1.3438,1.3644,1.3562,1.3329,1.4302
Austria,"Expenditure on recreation, culture, & religion",AT,1.2035,1.1886,1.1609,1.1571,1.1957
Austria,Expenditure on recreational & sporting services,AT,0.2769,0.2747,0.2797,0.2741,0.2918
Austria,Expenditure on religious & community services,AT,0.049,0.0478,0.0462,0.0489,0.0609
Austria,Expenditure on secondary education,AT,2.1307,2.1105,2.0634,2.0305,2.1061
Austria,Expenditure on sickness  & disability,AT,1.874,1.8182,1.7734,1.7696,1.8635
Austria,Expenditure on social protection,AT,20.9928,20.5978,20.1663,20.1477,22.9066
Austria,Expenditure on street lighting,AT,0.0558,0.0543,0.0531,0.0549,0.0539
Austria,Expenditure on subsidiary services to education,AT,0.2218,0.2131,0.205,0.2093,0.2245
Austria,Expenditure on survivors,AT,1.419,1.3823,1.3506,1.3373,1.4428
Austria,Expenditure on tertiary education,AT,0.7416,0.7235,0.7352,0.7455,0.799
Austria,Expenditure on transport,AT,2.8537,2.8546,2.8358,2.7871,3.0713
