,,,"Prefectural income per person
(2011 base)","Annual increase rate of gross prefectural product
(2011 base)",Annual increase rate of prefectural income (2011 base),"Annual increase rate of gross prefectural income (nominal)
(2011 base)",Ratio of secondary industry establishments,Ratio of tertiary industry establishments,Ratio of private establishments with 1-4 employees,Ratio of private establishments with 100-299 employees,Ratio of private establishments with 300 employees and over,Number of employees in secondary industry (per establishment),Number of employees in tertiary industry (per establishment),Ratio of employees in private establishments with 1-4 employees,Ratio of employees in private establishments with 100-299 employees,Ratio of employees in private establishments with 300 employees and over,"Gross agricultural product per agricultural worker
(Independent management)",Ratio of cultivated land area,Land productivity (per hectare of cultivated land area),"Cultivated land area
 (per farm household)","Value of manufactured goods shipments, etc. (per employee)","Value of manufactured goods shipments, etc. (per establishment)",Annual sales of commercial goods (Wholesale and retail trade) (per employee),Annual sales of commercial goods (Wholesale and retail trade) (per establishment),"Outstanding of deposits of domestically licensed banks
(per capita)","Outstanding post-office savings
(per capita)",Regional Difference Index of Consumer Prices (All items),"Regional Difference Index of Consumer Prices (All items, less rent)",Regional Difference Index of Consumer Prices (Food),Regional Difference Index of Consumer Prices (Housing),"Regional Difference Index of Consumer Prices (Fuel, light and water charges)",Regional Difference Index of Consumer Prices (Furniture and household utensils),Regional Difference Index of Consumer Prices (Clothes and footwear),Regional Difference Index of Consumer Prices (Medical care),Regional Difference Index of Consumer Prices (Transportation and communication),Regional Difference Index of Consumer Prices (Education),Regional Difference Index of Consumer Prices (Culture and recreation),Regional Difference Index of Consumer Prices (Miscellaneous),Annual increase rate of land prices (Residential)
,,,#C01311,#C01111,#C01115,#C01116,#C02104,#C02105,#C02206,#C02209,#C02210,#C03305,#C03306,#C03206,#C03209,#C03210,#C0410102,#C04105,#C04106,#C0410701,#C04401,#C04404,#C04505,#C04507,#C04605,#C0460101,#L04414,#L04415,#L04416,#L04417,#L04418,#L04419,#L04420,#L04421,#L04422,#L04423,#L04424,#L04425,#L04302
,年度,Fiscal year,2017,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2016,2016,2016,2019,2020,2019,2020,2019,2019,2018,2018,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
12,千葉県,Chiba-ken,"3,193",3.1,4.2,3.2,16.49,83,54.25,1.01,0.22,12,11.28,10.49,14.08,13.04,766.8,23.9,309.7,"24,298.60","5,904.40","2,577.90","2,837.90",261.2,492.6,137.8,101,100.6,100.9,111.4,100.9,101.2,97.7,99.9,99.1,95.7,102.8,100.3,-0.2
13,東京都,Tokyo-to,"5,427",1,1,1,13.84,86.08,53.28,1.38,0.49,12.88,14.86,8.13,15.35,27,293.5,3,348.2,"6,825.50","2,900.30",725.5,"7,496.50",969.1,"2,059.50",143.2,105.2,103.4,103.4,134.5,94.7,103.9,102.1,102.1,104.9,110.2,104.9,101.5,0.2
14,神奈川県,Kanagawa-ken,"3,227",2.4,1.3,1.7,16.16,83.61,54.06,1.08,0.3,14.01,11.92,9.78,14.42,17.03,398.1,7.6,348.4,"8,642.60","4,985.90","2,414.80","2,863.20",286.8,475.5,128.2,103.2,102.7,101.6,116.5,96.8,100.1,100.2,101.7,103.3,110.2,104.6,104.4,-0.9
15,新潟県,Niigata-ken,"2,873",1.4,0.9,1.2,21.86,77.1,60.23,0.79,0.14,11.59,8.67,13.79,13.44,7.84,541.2,13.4,147.1,"27,015.80","2,618.40",948.3,"2,966.20",212.6,416.5,139.4,98.2,98.4,99.7,87.2,100.5,97.2,101.3,99.6,98.7,90.2,98.8,98.9,-1.2
16,富山県,Toyama-ken,"3,319",2.4,2.8,2.8,20.77,78.36,58.92,0.93,0.16,14.9,8.64,12.69,14.49,10.26,580.9,13.7,112.2,"33,614.40","3,071.50","1,439.40","3,214.30",213.1,549.1,146.8,98.7,99,101,93.7,102.1,99.2,100.4,101.8,97.6,82.9,95.2,100.5,-0.5
17,石川県,Ishikawa-ken,"2,962",1.6,2.1,2.1,22.14,77.18,60.1,0.75,0.16,10.67,8.85,14.06,12.81,10.09,564.8,9.7,134.4,"25,702.40","2,861.70","1,073.90","3,197.80",231.4,468.7,152,100.2,100.8,103.5,83.9,103,99.8,107.2,100.8,98.3,103.1,97.3,100.7,-1.1
18,福井県,Fukui-ken,"3,265",3.7,4.1,3.9,23.6,75.68,60.35,0.74,0.13,10.87,8.61,14.07,13,9.13,533.8,9.5,116.7,"24,909.70","3,034.90","1,080.40","2,700.90",182.2,449.6,168.1,99.4,99.9,105.1,85.9,96.5,103.2,100.3,100,99.5,101.8,93.6,97.5,-1.7
19,山梨県,Yamanashi-ken,"2,973",3.4,3.2,2.9,20.79,78.53,62.03,0.68,0.15,11.11,8.16,15.05,11.97,9.88,445.9,5.2,388.9,"8,361.30","3,445.70","1,463.40","2,443.80",166.5,372.6,144.9,97.5,98.2,99.2,90.4,98.8,98.8,99.1,98.8,98.1,88.6,97.4,96.1,-1.6
20,長野県,Nagano-ken,"2,940",2.4,2.7,2.5,21.01,77.95,61.79,0.72,0.15,11.71,8.19,14.71,12.65,9.82,460.4,7.8,240.9,"11,727.90","3,005.00","1,276.20","2,941.60",207.4,398,133.9,97.7,98.2,95.7,91.5,103.9,97.4,104.9,98.4,100.4,85.8,97.2,99.5,-1.1
21,岐阜県,Gifu-ken,"2,849",2.2,1.3,1.8,24.05,75.3,60.37,0.72,0.15,11.19,8.41,14.32,12.44,8.9,506.1,5.2,191.4,"11,341.30","2,890.20","1,077.90","2,647.10",185,403.4,132,97.4,98.1,98.9,83.8,94.9,94.2,98.4,98.9,100.6,92,98.2,99.7,-2
